	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
ENSG00000171724.3	4.650232374	152.9566084	56.44434402	4.782326398	0	20.65119112	1.629130298	25.33320746	40.08089076	0	4.734462889	4.768186418	9.6644361	3.417754586	1.626339044	76.38174588	15.12368923	9.606914366	0	0.926115443	3.434903963	8.47383321	6.12954082	7.137747297	19.14893798	4.741192227	25.08523586	31.36687911	12.45253423	17.86581502	4333.441898	6.541750872	48.53947461	4.54394836	175.0204176	5.66003624	23.50790196	24.64174722	229.9672452	5403.407394	13.13004792	2.896266412	7.670515351	122.034601	24.14943375	1354.89318	51.99785865
ENSG00000171747.9	64.17320676	45.77533536	6.976267238	40.64977438	9.278503124	19.71250062	41.54282259	26.30756159	19.74133425	20.634386	5.918078612	56.02619041	71.51682714	22.78503057	26.0214247	35.09431567	12.9631622	21.43080897	15.04640862	21.30065518	111.6343788	31.47423764	9.807265312	39.25761013	50.60790752	18.96476891	5.788900582	11.89778173	10.1884371	13.83159873	18.67131252	38.16021342	10.08612459	3.029298907	17.77551116	7.277189451	34.88269322	10.01070981	19.94295893	44.22431647	6.951201842	13.75726546	11.07963328	34.60682714	9.288243752	36.78443023	663.4926764
ENSG00000171759.10	4.650232374	8.931772752	0	11.95581599	7.290252454	0.938690506	7.331086339	16.56402026	27.51822351	9.027543874	5.918078612	100.1319148	1.93288722	2.278503057	1.626339044	1.032185755	2.160527033	3.694967064	6.582803771	0	1.717451981	6.052738007	6.12954082	82.08409391	2.735562568	4.741192227	1.929633527	6.489699127	1.132048566	1.152633227	1.697392048	1.090291812	4.41267951	3.786623633	0	8.085766057	61.42387285	7.700546007	7.4786096	34.17333545	8.495913362	10.86099904	10.2273538	0	1.85764875	0	0
ENSG00000171766.17	442.702122	2860.400224	994.4351845	3634.568062	1010.69409	4976.937061	2235.166768	3113.061455	1711.513858	918.2301769	2969.691847	1978.797363	983.839595	2644.202798	3360.016465	200.2440365	2084.908587	2344.826099	813.4464659	4878.776151	261.0527012	1873.927687	691.4122045	173.0903719	590.8815148	3174.228196	1111.468912	1748.973915	218.4853733	1717.423508	1889.763146	1073.937435	3223.777573	690.6801507	7537.500405	5106.161265	897.0918714	373.4764813	887.4616726	180.9176583	386.9502359	1865.195569	356.2528241	1748.555477	2182.737282	1634.863566	1610.893661
ENSG00000171798.18	1.860092949	10.04824435	50.73648901	56.59086237	11.26675379	4.693452528	1.629130298	4.871770665	8.973333752	6.448245624	8.285310056	8.344326232	7.73154888	7.974760701	9.758034264	83.60704617	26.64650007	2.216980238	5.642403232	1.852230885	24.04432774	25.42149963	24.51816328	14.27549459	4.103343853	33.18834559	17.36670175	2.163233042	0	13.83159873	10.75014964	3.270875436	5.043062297	1.514649453	10.9387761	12.93722569	25.78286021	2.310163802	21.18939387	2.010196203	16.21947096	23.8941979	26.42066399	10.01776575	11.1458925	130.7890853	5.199785865
ENSG00000171840.12	709.6254602	492.363973	1884.22636	268.6073327	257.8098368	310.7065574	110.7808602	151.0248906	339.7902381	434.6117551	384.6751098	185.9592703	301.5304063	169.7484778	279.7303156	207.4693368	239.8185007	197.3112412	349.8290004	144.474009	381.2743399	635.5374907	500.1705309	844.0386178	102.5835963	476.4898188	264.3597933	326.6481894	382.6324153	190.1844825	472.4407866	526.6109452	396.5107731	1072.371813	644.7041163	321.0049124	338.2104604	54.67387665	436.8754442	968.9145699	785.4858081	491.6412234	210.5130324	282.318853	234.9925669	1984.315653	462.780942
ENSG00000171864.5	9.300464747	10.04824435	69.12846627	7.970543996	0	0.938690506	30.13891051	47.74335252	13.75911175	109.6201756	3.550847167	7.152279627	363.3827974	3.417754586	1.626339044	40.25524445	0	6.650940715	57.36443286	93.5376597	36.06649161	95.63326051	2.451816328	2.676655236	21.88450055	0	1.929633527	204.4255225	223.0135675	63.97114411	90.52757587	35.9796298	54.21291969	34.0796127	19.82653168	85.7091202	25.02454079	0	16.20365413	2.010196203	16.21947096	11.58506565	0	11.83917771	100.3130325	4.087158915	6.239743038
ENSG00000171877.21	6.510325323	8.931772752	12.04991614	5.579380797	2.651000892	13.14166708	6.516521191	16.56402026	19.74133425	6.448245624	7.101694334	7.152279627	23.19464664	26.20278516	13.01071235	10.32185755	497.6413933	18.47483532	34.79481993	47.23188757	15.45706783	19.36876162	13.4849898	17.84436824	19.14893798	16.5941728	3.859267055	14.06101478	57.73447687	22.47634793	13.01333903	5.45145906	18.28110083	9.08789672	54.01020698	12.93722569	47.77412333	16.94120122	4.985739734	18.09176583	13.90240368	10.13693244	20.4547076	48.2674168	7.430595001	188.0093101	22.87905781
ENSG00000171903.16	20.46102244	0	1.902618338	6.376435197	25.8472587	4.693452528	0.814565149	3.897416532	19.143112	12.89649125	9.468925779	3.576139814	17.39598498	5.696257643	3.252678088	47.48054474	6.481581099	0.738993413	4.702002693	0.926115443	1.717451981	15.73711882	4.903632656	29.4432076	4.103343853	35.5589417	1.929633527	12.97939825	9.056388529	1.152633227	11.88174433	14.17379356	1.260765574	4.54394836	7.520408567	29.91733441	35.64101264	11.55081901	9.971479467	0	23.94302857	38.37552996	1.704558967	12.74988368	0	34.74085078	55.11773017
ENSG00000171916.17	27.90139424	5.58235797	8.244679464	18.33225119	40.42776361	2.816071517	27.69521506	0	8.973333752	45.13771937	27.22316161	7.152279627	27.06042108	12.53176682	11.38437331	2.06437151	5.761405421	8.867920953	70.5300404	6.482808098	25.76177972	113.7914745	31.87361226	17.84436824	2.735562568	9.482384454	19.29633527	15.1426313	20.37687419	6.339482749	4.526378794	103.5777221	3.151913936	9.08789672	2.051020518	12.12864908	48.53244275	15.40109201	11.2179144	4.020392406	19.308894	28.96266412	40.05713572	10.01776575	15.79001438	0	158.0734903
