	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
hsa-mir-3074	38.891	27.563	34.266	24.515	32.56	12.008	12.428	5.85	27.398	19.91	39.874	55.753	15.261	86.957	23.513	18.47	21.397	17.872	16.591	17.634	7.895	32.443	47.481	21.938	27.03	126.797	51.327	12.216	39.804	31.643	31.473	30.362	37.92	30.205	9.055	23.709	12.423	33.159	40.712	28.757	17.684	24.249	24.688	17.347	42.081	24.141	24.682
hsa-mir-30a	33645.01	34410.007	23487.725	85951.623	29249.598	12961.375	11285.587	30363.446	40378.597	19072.523	21198.37	11133.84	30005.797	8900.541	18583.772	85080.882	10840.721	12802.184	19237.242	8977.062	14667.988	24910.657	22108.767	12600.238	20510.306	14676.551	10753.086	12202.398	110151.707	13429.625	21968.971	32019.776	20347.854	30648.452	7033.235	19533.636	26716.288	23620.594	12275.659	18807.108	29502.585	26036.088	7734.715	30492.011	8343.985	32156.973	103301.595
hsa-mir-30b	452.962	2195.314	531.129	1422.784	1919.355	7041.374	898.817	1833.982	2186.362	577.395	4570.839	6808.476	423.504	1123.069	1324.543	838.719	1227.435	2396.676	2749.599	6592.547	1005.76	2424.518	1049.332	2014.512	2274.854	4777.367	824.446	467.712	4323.675	929.714	1049.396	3746.093	1372.703	4694.429	3314.019	1879.059	949.757	1311.426	1612.192	1167.978	1552.937	1756.626	2377.518	1267.872	4252.038	1188.931	2490.434
hsa-mir-30c-2	790.396	1397.608	873.794	2112.019	1115.625	919.083	1296.959	1036.917	1556.208	543.263	590.767	1571.279	345.289	754.608	678.926	721.181	651.649	791.524	1160.229	626.576	1271.015	711.371	502.508	617.135	426.372	1878.998	467.293	687.607	1501.878	1035.192	1009.83	2511.704	768.511	984.194	872.646	1114.824	1422.941	1003.05	1139.934	760.956	1384.139	1469.513	1402.897	715.938	1031.906	1178.37	1695.667
hsa-mir-30d	12853.368	22869.206	15518.879	15376.251	74141.938	225806.147	38225.677	37144.353	39901.871	33623.303	108895.318	74888.442	4677.616	49332.49	37491.821	11977.984	46558.884	105477.277	38746.568	66911.9	33516.906	27925.479	27623.692	7444.251	60525.587	142639.105	20957.61	17141.298	146342.491	29133.811	34362.093	55708.736	24215.691	97703.267	67583.12	68721.596	27714.605	25058.023	62731.967	42080.406	46199.068	53676.515	14674.062	20147.183	76883.406	26366.213	29484.535
hsa-mir-30e	80067.895	55124.433	53767.814	63252.135	54843.853	56040.028	79001.775	35493.184	57239.949	67177.632	58963.409	77307.409	68897.537	82384.905	75963.334	106643.268	43296.747	40765.603	39690.015	41243.785	66283.834	93246.617	56631.458	62680.699	70490.825	243523.921	59748.276	41889.898	80391.349	73403.732	47641.85	93457.584	43398.138	49719.411	32490.513	46787.304	71796.423	55149.535	60876.522	65236.463	73293.476	65445.23	54901.881	54600.506	59185.485	59754.364	56374.971
hsa-mir-31	14.87	3.243	1.904	8.486	6.855	2.771	0	22.669	1.218	8.533	4.197	2.398	1.908	2.948	10.777	36.101	0	5.173	4.424	0	1.579	83.086	1.583	19.554	0.872	0.998	4.277	13.962	6.397	8.288	7.194	31.409	2.528	2.517	0	6.558	12.423	4.974	8.651	0	0	5.82	1.073	14.193	4.574	10.562	112.715
hsa-mir-3127	8.007	24.32	9.518	11.314	11.996	6.466	15.091	4.022	12.177	12.088	26.233	14.987	13.354	8.843	12.736	12.593	13.617	7.055	7.742	3.858	42.63	11.869	18.992	12.877	9.591	86.861	17.109	5.236	29.142	26.37	7.194	21.987	2.528	12.586	9.055	10.089	13.552	6.632	14.758	17.697	11.253	17.46	20.394	12.616	16.467	15.088	15.632
hsa-mir-3130-2	29.74	6.485	1.904	0	8.569	18.474	2.219	3.291	6.697	74.663	3.148	2.997	51.507	0	15.675	0.84	15.562	2.822	4.424	1.653	6.316	31.652	53.021	11.446	26.158	36.941	31.01	13.962	9.951	4.52	5.395	4.188	5.056	15.103	5.659	1.513	14.681	8.29	17.303	35.393	9.646	6.79	12.88	1.577	6.404	12.07	4.936
hsa-mir-32	114.384	149.165	104.703	131.058	147.379	221.688	194.411	142.229	228.926	216.168	249.738	453.219	454.026	285.926	359.547	240.114	208.139	171.661	290.887	433.147	164.206	690.798	216.039	509.828	269.425	345.448	116.556	92.495	188.357	137.875	98.915	165.423	111.232	275.625	140.348	96.349	215.7	202.268	185.239	137.149	217.025	169.746	312.351	126.156	172.899	176.529	208.153
