	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
ENSG00000116035.4	10.40062529	2791.431066	231.616931	30.72973983	22.20657904	5.914836617	6.826061685	56.16365241	3.101984516	78.89280837	93.84950466	82.84939221	6.030993859	546.3234091	12.70827163	676.4577329	2.897526489	42.22360744	1.565225309	106.5254029	156.1540984	34.84124293	6.777371075	145.3016977	1246.079012	31.59210014	17.40266177	12.45122238	229.7309277	10.70903065	35.83388152	62.17506201	5.601574171	8.673620565	90.26301817	291.1683522	185.5107728	412.0089807	42.64051983	53.63066681	182.8003285	159.2925366	48.40339067	70.00452985	35.06544052	30.58250279	12.70521309	30.8938995	110.8328562	11.12359339	12.1739406	49.80657396	54.51664645	146.1615166	763.1499538	8.128033574	42.12678116	1363.758891	3192.236365	397.9788154	5.361721863	232.6788353	134.3905955	111.6294987	14.22232635	28.76049799
ENSG00000116039.13	440.9865122	608.2162384	449.9694563	1347.918134	1110.328952	570.1902499	460.7591637	1930.625552	858.2157162	334.5639466	549.4461909	674.3762355	1049.392931	891.3183348	614.8848352	773.2591802	431.7314469	489.3607837	728.6123813	1105.054729	1571.361997	271.9131786	1146.505274	1307.715279	607.6475524	146.2597229	962.264827	243.8364383	615.5055045	1061.264937	375.4025683	643.8573088	84.82383745	710.3695242	1251.184298	985.2666464	1556.448541	1101.607024	501.2436617	952.8381803	474.6576711	5.827775731	373.7026486	615.6808651	591.1031401	1077.445098	797.6050438	831.0458966	828.3800544	885.6091662	427.9608348	16.3003333	456.0527155	2.415892836	369.7037554	751.3915482	884.6624044	657.0124406	920.2065888	1625.001386	352.8012986	706.0946475	858.0322635	704.3289802	641.2976247	1147.54387
ENSG00000116132.12	392.1035734	197.0277955	48.97626735	13.96806356	102.1502636	52.05056223	253.41754	1433.928251	129.2493549	213.3027782	1651.751282	266.3652502	501.5776559	2065.08294	71.36183302	162.4881437	84.99411035	228.4405428	98.60919447	225.9275028	219.0085783	837.7046671	452.9543002	274.4587623	212.8104864	19.89132231	52.2079853	135.9258443	564.3578639	58.89966856	141.6291508	229.3568954	26.40742109	139.6452911	218.0199054	7.842918579	115.7797731	2434.67083	267.1559099	2174.723539	72.7046761	447.7674353	430.6478141	197.4486739	647.207845	91.74750837	2785.265047	259.5087558	175.8038408	163.4312568	75.85301449	31.69509252	142.5819984	22959.43757	679.486107	84.8927951	105.8067992	451.5324542	72.51158861	157.8680812	18.22985434	198.431734	75.18354993	191.364855	281.8606496	170.6456214
ENSG00000116141.17	1005.740465	517.656879	982.5863637	444.1844212	377.5118436	235.4104974	376.2866504	351.9003846	405.3259768	828.3744879	353.2154084	362.5774476	340.751153	470.0922358	356.8091651	433.3017165	735.0058861	691.8175681	819.3954493	373.4242145	648.1868236	299.9376566	176.211648	546.6111484	222.1795015	397.8264462	204.7371972	670.2908047	700.4626023	153.1391383	428.3002029	1088.754419	247.2694884	372.9656843	938.735389	18.62693162	209.1929992	868.5594728	777.1017185	465.6929568	1019.942742	51.47868562	753.8116283	611.1933953	406.75911	202.3150184	114.3469178	491.2130021	648.754391	225.0388509	428.8972918	880.2179981	668.8773161	520.6249062	626.3482584	483.1664402	460.455515	647.8509126	467.8723932	498.1825076	244.494517	508.6701812	280.0587235	543.5293451	396.9321992	402.6469719
ENSG00000116147.17	12.48075035	17.13285179	3.061016709	15.36486992	11.10328952	1.182967323	3.413030842	0	4.135979355	8.765867597	40.09933381	14.25365888	2.010331286	6.841259148	3.910237426	94.49665093	1.931684326	4.330626405	13.30441513	5.853044115	7.856809983	2.272254974	11.29561846	6.91912846	1.338430732	1.170077783	4.094743945	5.188009325	1.733818322	9.638127583	8.531876552	6.908340224	0.800224882	2.602086169	27.77323636	19.60729645	7.89407544	2.386152398	6.091502833	8.044600022	12.46365876	0.971295955	8.541774824	2.692481917	22.04113404	0	7.058451715	29.34920453	11.46546788	4.278305151	1.872913938	0	6.290382283	1.207946418	1.130592524	1.806229683	4.898462926	7.852738334	15.53819756	5.671907108	2.144688745	8.058141484	21.6152706	5.315690416	10.34351008	5.752099598
ENSG00000116176.6	1.040062529	1.223775128	1.020338903	4.190419068	11.10328952	3.54890197	3.413030842	0.877557069	3.101984516	2.921955866	3.41270926	4.454268399	57.29444166	0	0	11.52398182	1.931684326	4.330626405	2.347837963	3.511826469	2.946303743	24.23738639	0	4.612752307	2.676861464	24.57163344	2.047371972	9.338416784	2.600727484	1.070903065	17.0637531	8.290008268	13.60382299	0	134.7001963	9.803648223	198.6675652	13.52153025	0.87021469	4.469222234	20.7727646	16.51203124	4.982701981	50.25966246	7.013088103	2.352500215	7.058451715	35.52798443	40.12913758	3.422644121	9.36456969	0.905574072	7.33877933	0	7.914147669	0.903114842	6.857848096	7.852738334	27.62346233	34.03144265	1.072344373	19.13808602	38.53156934	19.93383906	2.585877519	1.917366533
ENSG00000116194.13	918.375213	347.5521362	3855.860715	2244.667814	974.8688197	598.5814656	1907.030983	3084.613097	2233.428852	622.3765994	1212.364965	1624.917112	2796.370819	1871.573038	1140.811769	1226.151666	4220.730253	1271.03885	3263.494769	1641.19357	1922.954243	1353.506546	1623.180373	1982.330304	576.8636456	273.7982012	2038.158799	270.8140867	2683.083854	2301.370686	638.1843661	3226.194884	38.41079432	899.4544525	2896.748552	423.5176032	1689.332144	2043.341837	2164.223935	1140.545514	774.8241196	69.93330877	1062.027337	1613.694163	1731.230892	698.6925637	6897.519016	642.5931097	1313.751528	1087.545169	4709.442097	214.6210551	2342.119003	353.9283005	579.9939649	1695.146558	1857.497141	337.6677484	1072.135632	1878.34657	2643.328879	1513.923331	2415.271541	609.9754753	1418.353819	2142.6571
ENSG00000116254.18	16.64100046	296.1535809	1078.498221	277.9644649	8218.654901	726.3419366	143.3472954	2351.852945	2347.168284	23.37564692	6.825418521	158.571955	738.7967477	24.43306839	38.1248149	2014.392022	2.897526489	24.90110183	23.47837963	1459.749202	20.6241262	26.50964136	35.01641722	295.2161476	5672.269443	565.1475691	178.1213616	433.7175795	1143.453184	234.5277712	221.8287904	5554.30554	76.02136375	179.5439457	7354.352988	609.7869195	389.441055	1156.488529	1222.65164	48.26760013	50.89327327	12.62684742	124.5675495	66.41455396	3214.99996	3874.567853	25.41042617	1954.039144	50.63914981	198.513359	47.75930542	176.5869441	748.5554917	9.663571344	1526.299908	4681.747339	2391.4296	60.20432723	5636.912781	1009.599465	78.2811392	130.9447991	66.72540056	14.61814864	33.61640775	36.42996412
ENSG00000116544.12	45.76275127	156.6432163	11.22372793	15.36486992	237.6103957	121.8456343	58.87478203	92.14349223	72.37963872	40.90738212	28.1548514	98.88475845	163.8419998	54.73007319	83.0925453	59.92470547	95.61837414	54.13283006	109.5657716	66.72470291	13.74941747	32.56898796	24.85036061	125.6975004	163.2885493	1175.928172	54.25535727	762.6373707	76.28800619	109.2321126	197.939536	17.96168458	278.4782588	128.3695844	55.54647272	330.3829451	89.46618832	36.5876701	60.91502833	64.35680017	87.24561132	8.741663596	185.7836024	86.15942136	79.14770859	105.8625097	40.93901995	193.0868719	59.23825072	88.13308611	68.36135873	1489.669349	98.54932243	189.6475876	62.18258883	62.31492407	90.13171783	64.1306964	227.8935642	22.68762843	47.1831524	98.71223318	89.28046554	89.03781447	68.52575425	40.26469719
ENSG00000116661.11	4758.28607	4441.079938	2476.362518	765.4498831	5138.602389	8710.188402	4770.56386	1527.826857	3910.56848	3604.23256	916.3124364	5361.157445	6585.845294	3042.405676	2823.191421	3789.085223	2279.387505	1838.350909	5098.721444	4402.659783	723.8086197	524.890899	5604.885879	5519.158135	3181.44985	5026.654155	2173.285349	2252.633649	2173.341267	3693.544671	9139.346162	2529.83419	3725.847049	3037.501922	2227.413556	1653.875455	12043.72776	1438.849896	1336.649764	5652.672282	3342.337824	60.22034922	1374.513932	2323.611895	4109.669628	4700.295429	1048.885925	5170.094082	3464.482211	2386.438613	2033.984537	2072.859051	3697.696385	50.73374956	3874.54058	3861.719062	1533.218896	5055.854697	3038.580856	1161.795639	1864.806864	2106.19673	3686.81333	6640.626253	2978.930902	1948.044397
