	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
hsa-mir-128-1	313.491	391.206	247.738	351.886	214.694	255.238	221.274	333.347	266.775	464.363	474.744	346.763	440.973	430.619	311.494	524.668	343.208	290.37	431.106	336.659	638.32	477.696	396.911	539.442	240.542	484.873	271.427	309.817	321.805	359.377	265.355	345.134	782.484	243.663	308.762	905.52	439.409	415.496	246.147	347.921	290.901	378.35	271.541	238.846	231.581	365.235	228.001	395.091	252.109	185.107	362.061	303.785	298.935	343.616	282.482	248.03	253.282	314.375	310.642	541.804	259.863	276.494	278.678	370.309	274.698	253.723
hsa-mir-1287	46.342	65.95	13.039	83.471	42.72	26.356	61.538	16.53	24.115	24.643	87.474	30.476	28.792	44.573	17.257	47.509	35.021	25.294	68.64	24.047	106.832	50.603	41.178	73.102	55.762	228.732	41.606	84.356	29.626	20.64	58.298	69.825	55.268	24.626	24.619	33.291	37.777	43.976	35.164	36.081	53.768	85.856	63.984	32.745	45.879	37.616	39.142	82.755	70.465	44.348	36.026	88.054	84.038	55.091	77.368	41.974	46.46	45.363	43.809	54.656	28.009	88.388	52.538	46.998	33.153	40.536
hsa-mir-129-1	10.904	49.463	6.519	63.83	28.48	173.395	32.733	82.648	36.173	7.701	19.085	193.561	80.315	95.189	48.32	731.23	33.27	24.282	128.85	5.771	152.235	114.364	11.438	23.947	131.204	14.178	128.779	51.38	17.367	8.499	72.369	91.77	9.89	132.2	61.547	74.35	328.065	250.966	21.349	34.792	437.041	30.559	10.144	111.718	132.176	293.644	46.97	530.347	18.791	71.343	36.927	22.894	7.203	25.211	116.951	5.724	65.943	504.266	205.104	117.233	65.355	20.397	31.979	32.412	15.787	36.032
hsa-mir-1296	19.991	64.452	22.166	4.91	48.197	41.615	19.64	34.437	13.565	20.792	5.567	8.237	37.127	8.31	36.24	26.165	26.266	35.411	21.676	8.657	12.019	10.121	12.582	73.102	36.081	3.781	9.906	2.301	37.799	19.426	28.144	5.985	21.526	15.553	12.309	53.266	24.853	26.537	10.047	29.638	12.408	75.67	31.212	24.077	15.293	54.603	12.721	54.28	10.961	9.641	22.516	4.403	15.607	12.139	23.39	7.632	14.987	36.923	50.778	16.634	10.892	11.332	20.558	16.206	23.681	13.512
hsa-mir-1301	18.173	31.476	33.901	44.19	14.24	26.356	37.97	22.039	12.058	66.998	15.904	28.005	11.365	20.398	10.354	17.902	14.008	27.317	9.634	16.352	78.788	28.338	14.87	27.728	25.148	168.241	23.775	108.129	33.713	25.496	14.072	43.89	41.888	14.257	49.238	48.827	41.754	37.152	21.349	15.463	17.923	45.111	15.606	26.003	42.602	37.616	15.657	32.924	32.884	17.354	38.728	121.514	26.412	51.356	24.29	32.435	23.979	22.154	19.913	72.874	10.892	28.707	36.548	33.222	23.681	15.013
hsa-mir-1306	54.52	62.953	53.459	37.644	28.48	58.261	15.712	48.211	22.608	33.114	17.495	18.944	30.307	30.974	32.789	24.787	17.511	20.235	45.76	9.619	37.391	31.374	26.308	59.238	13.12	25.52	41.606	32.209	52.102	50.993	58.298	29.925	29.089	32.402	45.135	64.363	33.801	34.877	30.14	38.658	42.739	33.469	89.733	31.782	30.586	93.432	61.648	35.594	42.279	59.774	63.946	35.221	30.014	66.295	39.583	19.079	34.47	41.143	30.865	34.061	31.121	43.816	68.527	34.843	20.523	52.546
hsa-mir-1307	3483.835	11325.493	4173.737	9856.068	3568.733	4744.099	2629.107	8997.624	2095.017	9499.807	3483.843	4900.802	2715.544	5706.835	3504.959	3382.799	3309.504	4556.88	3698.121	3500.291	5631.369	7679.578	3396.049	7300.117	11166.595	17624.632	6985.785	9483.915	4961.922	4194.76	3751.149	19331.508	13974.169	5741.632	10113.227	3413.457	24104.85	7306.824	4341.476	10511.075	7563.427	13512.911	2400.172	4532.289	5606.004	16627.277	5086.487	4277.479	4915.35	3407.117	8733.603	15590.789	4204.292	6661.29	6695.901	2646.286	5043.153	5050.046	4130.948	5773.701	2659.315	6610.933	5587.26	9031.638	4677.763	3322.424
hsa-mir-130a	59.972	89.932	15.647	93.291	82.153	84.617	174.139	99.178	100.983	60.837	172.562	91.427	175.783	134.474	161.356	88.133	152.342	128.491	27.697	53.865	88.136	185.209	44.61	78.144	97.31	137.995	73.305	236.964	147.111	108.056	122.626	67.83	133.226	119.239	52.315	188.65	40.76	45.492	56.513	46.389	37.224	372.529	285.586	219.584	77.558	57.03	126.233	111.23	43.845	52.061	99.071	177.868	57.626	401.508	143.94	68.685	71.938	131.869	41.817	202.781	68.467	76.3	102.791	87.513	85.251	55.549
hsa-mir-130b	48.159	16.488	26.078	14.73	26.289	30.518	32.733	11.02	19.594	23.103	33.399	25.534	38.642	31.73	43.143	22.033	31.519	18.211	73.457	17.314	17.36	51.616	29.74	12.604	21.867	17.958	21.793	30.675	31.67	32.781	18.092	27.93	20.362	23.329	15.387	43.279	31.812	23.504	16.326	10.309	64.798	276.486	182.588	17.336	31.679	21.841	16.635	26.695	26.62	55.918	52.238	21.133	39.618	397.773	31.487	20.987	29.974	22.154	26.883	30.892	28.009	39.283	38.832	52.67	28.417	25.522
hsa-mir-132	286.231	167.874	203.406	312.605	211.407	292.691	158.427	179.071	313.499	733.894	620.269	448.897	469.007	421.553	258.86	411.059	492.048	329.827	379.325	474.208	364.563	625.459	354.589	149.985	393.613	330.81	243.69	375.001	259.487	167.548	349.786	454.859	386.879	353.83	427.753	331.802	348.942	148.608	365.453	199.732	267.464	1721.492	301.192	223.436	274.183	434.399	379.676	248.266	486.994	410.705	160.316	378.631	477.815	656.418	437.217	328.162	292.248	337.584	207.095	188.523	294.096	267.429	290.099	394.618	236.809	318.28
