	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
hsa-mir-1976	12.632	9.821	14.271	27.473	23.087	20.551	12.524	6.882	38.934	20.258	26.851	16.334	13.925	35.577	28.781	24.165	31.508	20.071	28.457	39.452	14.898	8.197	24.661	49.245	24.218	30.667	38.347	10.419	5.279	45.773	19.954	13.754	13.391	13.687	15.813	24.328	39.252	36.634	29.306	13.573	18.797	29.769	54.63	25.135	19.112	21.871	8.301	46.09	26.176	129.247	20.413	18.208	27.484	6.915	91.877	31.242	17.472
hsa-mir-199b	64488.61	28699.403	32912.115	59222.477	50548.749	50578.083	190458.122	43144.893	13030.486	62710.308	81359.026	58023.009	71333.773	30495.578	36633.183	17919.08	1529.745	28917.788	67482.994	41679.005	24958.954	26606.667	24737.135	2441.646	8292.364	63312.037	18861.089	62654.41	19900.6	27215.159	68448.571	22994.339	75260.226	42975.766	32560.583	64278.015	11916.616	7606.064	61859.848	30765.175	50970.577	49695.637	31656.083	46076.389	48169.461	49732.178	14344.755	12434.58	48977.114	5365.017	35191.695	39157.599	28305.22	28927.045	22471.61	28125.451	92504.914
hsa-mir-19a	2023.28	960.365	1481.086	1067.393	548.132	460.112	12664.089	2628.954	1081.584	755.881	720.501	2086.19	2048.024	1003.421	949.785	1225.309	555.185	1183.071	334.19	1152.149	2055.911	575.139	2211.278	988.34	692.336	5084.999	2383.281	860.592	1135.841	1031.42	1008.797	806.162	1053.079	517.737	1276.489	1403.812	1668.219	1854.46	1017.976	1682.374	705.437	2834.465	591.215	564.233	993.005	970.46	1011.204	1325.075	830.035	1147.383	1776.654	946.803	398.52	1880.894	882.02	664.885	411.975
hsa-mir-19b-1	2429.719	1580.498	1816.445	1286.162	732.828	625.661	18890.72	4597.228	1599.61	921.745	1106.004	2862.316	2431.492	1494.215	2375.147	1975.846	795.294	1945.768	596.872	1860.826	3163.322	866.124	2404.457	1303.28	762.14	8946.735	3248.011	1114.81	1715.829	1348.781	1243.814	1050.685	1382.106	689.721	1548.831	1714.669	2619.193	2741.265	1378.497	1737.898	1209.636	3115.147	911.709	681.239	1627.863	1495.371	1205.144	1668.826	1007.356	1310.819	2292.616	1046.339	695.119	2208.668	1623.162	1034.978	644.63
hsa-mir-200a	118.885	940.723	180.421	859.816	2729.486	240.902	834.949	262.666	7297.89	3369.18	2268.266	393.695	1853.076	9616.99	5761.753	10793.239	11013.513	3233.654	3366.707	5909.786	506.529	9.563	78.093	23132.651	2451.668	6552.459	16758.702	245.189	6971.168	848.328	887.963	6437.07	4134.841	146.395	5056.76	878.509	8159.108	16752.037	3267.917	110.431	323.97	1074.885	5755.541	247.014	1305.448	737.375	182.62	11808.53	247.406	12672.081	2544.614	656.693	6639.708	44.256	8860.016	14424.808	3816.285
hsa-mir-200b	119.628	900.737	197.24	863.886	2225.295	226.06	755.629	247.755	4938.73	2129.636	2229.268	305.832	1439.615	8007.96	6156.469	10631.191	11388.344	3949.518	4130.674	4520.194	561.154	16.394	78.093	25349.83	2354.798	6669.446	13908.544	220.184	8387.576	823.916	1254.9	6062.644	5184.094	122.591	3880.422	724.432	7839.738	15267.711	3243.035	98.092	538.476	943.05	5369.491	169.876	1280.519	944.84	187.903	10577.555	264.294	10197.202	2480.559	372.652	5810.604	60.852	12617.79	16797.567	4917.95
hsa-mir-200c	1695.602	1370.747	2006.041	6869.368	6735.464	4041.68	3391.98	2359.406	65027.706	31034.189	8132.642	1300.49	22736.06	22432.637	136013.832	130182.698	78912.253	67131.775	35379.611	12782.497	1077.615	233.608	429.514	164909.607	4527.252	13095.831	51319.151	633.462	42612.896	9400.269	5823.311	23833.359	35239.404	1397.296	2304.358	6507.273	640.525	54412.222	10352.828	726.746	4076.717	305.136	48474.743	1482.085	9417.342	2797.025	1855.634	104062.55	1296.138	145195.683	22253.934	324.098	28756.418	240.644	49432.947	100725.324	28821.689
hsa-mir-203a	869.349	4400.561	2569.73	6598.704	9181.203	17628.117	3187.418	2389.228	8625.619	32808.042	343.948	1942.004	5489.603	11988.491	72226.126	33612.134	36453.132	128126.298	7523.649	9052.807	625.712	265.028	3027.15	22207.299	2069.886	2892.895	58682.779	2868.639	11686.493	1652.409	7074.885	10581.736	44712.331	1216.385	9322.853	5787.346	312.234	8326.12	11010.835	856.919	3712.942	1713.863	6388.032	12723.4	82937.927	8146.741	3819.181	10437.365	5534.972	7381.277	54762.346	620.278	22740.829	1770.253	11213.601	56069.862	50617.736
hsa-mir-204	751.207	109.435	619.243	16.281	148.949	187.242	20.874	159.435	136.6	69.637	7.672	137.99	729.448	159.286	37.005	4.264	622.545	288.799	1319.247	112.512	0	19.126	12.331	13.743	5175.427	38.617	381.555	75.71	92.014	141.897	124.16	145.186	250.596	24.994	204.695	9.01	162.361	34.108	82.942	38.25	99.513	28.706	298.642	4.334	271.726	105.607	224.125	34.567	23.643	87.555	228.769	6.069	85.888	13.83	445.604	24.833	171.963
hsa-mir-20a	10728.659	3198.176	12366.507	3852.381	2806.195	1727.418	76320.598	12080.341	4030.04	3812.327	3385.138	24949.235	7961.799	4941.907	4647.504	8780.434	3361.528	5303.193	1625.709	12531.903	10140.506	1960.391	11983.238	3306.3	3092.72	44774.565	11527.18	3469.456	9135.752	4920.608	6082.716	5620.21	5513.121	2076.9	6616.133	8517.481	13636.576	15949.869	2389.837	8220.622	6817.749	16186.008	2764.262	4223.51	3129.42	4491.737	5639.347	4991.116	4664.407	3159.473	10035.564	4362.578	1892.97	9995.016	5230.87	5114.811	3055.787
