	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
ENSG00000005513.10	115.4697842	1374.105506	2197.184273	17.94290004	226.6521357	597.809916	29.81725357	2009.948267	221.4028837	113.6439402	16.06229945	1662.236147	2564.439869	161.9353981	10.36142349	599.4999664	59.28152036	597.2325516	27.98270316	4.792467681	9.148803645	4309.680727	392.922721	9.077716229	135.9571772	87.11600337	21.67531354	4105.319741	22.45723825	385.0353909	1803.258786	167.9294071	53.34908029	6279.13486	109.3278007	1470.953625	20.43790229	25.4305294	23.3519466	4123.497588	4781.196879	19.83196448	46.75597849	862.6587746	16.48126908	1222.922823	6.302892768	16.89083495	3432.653849	67.72953612	7.092968077	22.0292632	8.276786359	1092.932302	18.0756332	36.32695178	36.44547457
ENSG00000005844.19	44.12857996	110.7099223	104.9877806	221.8394914	256.0505298	183.4548948	115.5418576	37.17209477	87.59853223	36.6101284	222.8644048	59.68997873	183.3687977	540.9331383	48.98127469	113.3922634	568.3615764	189.343443	2187.31463	450.491962	109.7856437	42.63053579	82.34907327	406.2278013	149.7147487	35.23793395	166.5576724	257.1214197	211.8466142	606.2436285	869.5918005	112.9992272	144.5587982	185.9618549	163.5079497	105.2280371	4318.784228	46.79217409	152.621651	284.2839703	196.5460737	128.3244761	1414.129798	52.9790441	313.1441124	597.3724389	185.9353367	262.8636188	123.3478195	147.5897354	114.5007704	224.2979525	453.3839639	266.6800404	106.3272541	111.6717407	266.5075328
ENSG00000005981.13	436.8729416	1620.489353	440.9486787	35.88580008	46.46842949	20.55960028	2.795367522	78.76943891	5.7757274	28.98301832	18.07008688	35.0354223	27.23298976	1.722717001	0.94194759	2.958059045	5.928152036	14.13010769	5.596540632	0	0	2239.435333	27.05755265	3.404143586	2.427806735	64.60287891	1.140805976	148.158379	4.49144765	239.5036557	311.2223286	52.57602934	61.95377066	775.7265946	19.35005322	1430.653526	2.554737787	0	23.3519466	914.4927717	363.1829622	516.7976627	8.587832783	3.998418422	21.97502543	224.0146646	4.727169576	5.278385921	259.3466974	5.054442994	13.172655	0	3.678571715	2498.130977	4.253090164	4.036327975	3.416763241
ENSG00000006016.11	106.6440682	183.4311457	736.5942689	833.5292654	217.1687827	1184.549278	188.2214132	3705.703828	4706.25521	1040.337815	1738.743915	6074.10414	22053.27511	114.5606806	1017.303397	19647.42818	972.2169339	5860.226662	296.6166535	39.29823498	6145.708848	185.1763898	267.0462805	74.89115889	70.40639533	726.2929719	244.1324788	116.0182016	4498.184822	230.3559466	1098.431748	385.2959762	215.1172592	930.8719136	3781.967902	1841.490649	22.99264008	3841.02716	772.2822341	505.087054	448.6377769	24.49830907	32.44292385	1585.372904	804.8353065	1942.869324	3401.19851	1320.652157	1873.4109	3907.084435	751.8546162	50.06650726	16.55357272	216.5350755	503.9911844	118.3989539	905.442259
ENSG00000006047.13	109.5859736	163.8941006	433.3895584	200.6342459	905.6602074	528.2235765	330.7851568	861.1535287	1673.998325	803.1346918	701.7217071	801.9218882	1377.081516	359.1864947	104.5561825	571.8914153	211.9314353	236.443802	30.78097347	1945.741878	241.2996961	161.1967134	497.6236856	280.2744886	395.7324979	2057.50381	660.5266599	232.0364031	174.4178837	2074.03513	378.626095	590.1070756	263.3035253	354.921483	173.1829763	417.5538068	72.81002692	474.0250679	132.6056968	514.2871825	140.145896	620.6238297	251.9097616	2259.106409	860.6884961	488.8873498	390.7793516	513.0591115	567.1891187	1599.225763	1964.752157	45.05985654	208.7589448	232.4902916	230.7301414	690.2120838	417.9840365
ENSG00000006071.15	63.98644093	99.85600833	475.3846707	52.19752738	55.00344715	154.987756	8.386102567	389.4219452	89.5237747	65.59314672	3.011681146	35.0354223	134.3494162	35.31569852	0	37.4687479	66.6917104	40.5063087	100.7377314	29.71329962	8.005203189	299.7459548	179.9915459	3.404143586	10.52049585	4.894157493	12.54886573	134.831964	15.72006678	29.93795696	181.4076675	138.8948835	77.44221333	191.2750507	173.1829763	42.53899372	1.277368893	16.27553881	371.1291514	142.6019916	36.7455703	463.1347	1.908407285	426.8311666	216.0877501	76.08045212	100.8462843	6.334063105	67.47231152	157.6986214	485.3616727	8.010641162	9.196429287	87.7536885	27.64508606	2.690885317	5.694605402
ENSG00000006128.12	197.1076571	212.7367134	299.8451015	319.7098552	40.77841771	7.907538571	39.13514531	823.0963841	83.7480473	86.94905495	5671.999492	275.0929455	345.85897	12.05901901	0	1177.3075	10293.49499	32.02824409	981.2601241	0.958493536	1.143600456	5.328816973	237.6358971	4.538858115	351.2227077	47.96274343	35.36498525	36.84361807	31.44013355	47.40176519	242.986417	138.1101666	184.1403739	155.1453189	0	185.8282357	1.277368893	3.051663528	170.135611	187.6826211	88.01845909	0	2.862610928	10.99565066	41.20317269	156.387596	25.21157107	1.055677184	120.1850549	59.64242733	67.88983731	0	3291.402042	7.977608046	831.479127	64.58124761	194.7555048
ENSG00000006283.18	3083.852263	1676.929705	5626.50514	3071.498252	1226.197537	4162.528304	10707.1894	3128.651309	568.9091489	3869.995656	2383.24368	7012.274893	4195.695956	1025.016615	2173.07309	91.69983039	303.8177918	877.950691	1637.920891	328.7632829	1.143600456	3739.497311	2826.926044	144.1087451	593.1941123	3795.908551	2162.96813	5535.949591	1510.62356	864.8743123	4473.612937	1578.850314	1991.985821	1273.041727	711.1144559	2008.288282	60.03633799	88.4982423	6290.013617	1871.306134	803.2752577	737.2824444	84.92412419	1140.548855	3999.454629	821.3871035	636.5921696	159.4072548	4381.483229	87.9473081	2279.882596	1387.843581	153.5803691	156.133186	297.7163115	1073.663241	3095.587497
ENSG00000006453.14	251.5329057	1002.901649	661.0030669	624.7391559	1326.721079	637.3476088	792.020798	900.0957233	2422.917644	959.4904485	475.8456211	559.2691486	747.0916859	383.3045327	3200.737911	1702.85599	1495.376351	1935.824753	1253.625101	1386.940147	304.1977212	500.9087955	281.1632644	3198.760256	312.3777999	1180.470787	1106.581796	130.9124301	2765.234603	1482.76048	635.7589814	1248.484518	1432.680947	635.4582241	533.0939662	454.4955645	3137.218002	2089.372295	864.8560224	712.0899449	1004.94862	302.1458119	946.5700135	5789.709876	741.6571084	704.4486308	817.8003366	2853.495429	904.5506763	2483.753287	907.8999139	1768.349037	1531.205476	507.14794	1061.145996	5092.500462	1333.676585
ENSG00000006611.17	578.8198737	424.3880354	488.8231066	45.67283646	5034.712085	1208.271894	138.8365869	381.4564963	355.2072351	1820.591177	261.012366	172.581895	4222.02118	170.5489831	1.88389518	103.5320666	45.20215927	203.4735507	100.7377314	603.8509278	43.45681731	9.325429704	5816.197403	12.48185982	42.89125232	289.7341236	196.2186278	253.2018859	202.1151443	706.0368184	541.7265666	1071.923225	208.2335069	20.19014424	376.3585352	295.5340616	5161.847698	6.103327055	130.9377006	27.60038546	616.1292136	2448.664321	14.31305464	12.99485987	515.4974716	346.5887263	48.05955736	1746.090063	634.6614302	7095.427075	706.2569643	59.07847857	45.06250351	635.9293271	140.3519754	9.418098609	58.0849751
