	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
hsa-mir-1287	117.09	65.987	102.035	53.195	145.692	74.396	108.863	131.136	115.628	79.918	121.149	174.966	335.575	65.786	74.085	358.406	182.55	74.229	71.394	202.793	107.985	88.848	203.038	73.778	62.89	90.241	78.834	43.446	139.559	187.272	887.397	58.039	72.539	108.126	211.333	91.808	99.192	244.86	181.524	168.061	31.751	76.531	75.554	104.135
hsa-mir-129-1	0.77	4.713	57.892	2.85	4.254	0.942	6.048	5.894	25.571	6.221	2.423	0	16.039	0	0	3.499	0.841	1.237	4.407	7.653	5.225	4.936	7.923	2.838	15.215	0	5.4	4.573	3.001	17.715	2.897	9.361	1.369	0.909	2.516	1.874	1.562	0.785	7.992	49.534	1.221	3.145	4.317	1.977
hsa-mir-1296	23.88	7.07	20.262	10.449	3.19	12.242	12.768	20.628	8.894	20.099	4.846	0	14.805	7.229	9.748	21.994	15.984	8.66	2.644	47.191	9.579	17.77	7.923	9.222	8.115	9.428	16.199	26.296	15.006	12.654	11.587	9.361	21.899	6.36	5.87	14.989	18.745	5.494	6.85	17.691	13.433	13.105	17.269	16.477
hsa-mir-1301	23.88	53.026	20.262	63.645	36.157	45.203	23.52	41.256	45.584	30.627	12.115	53.619	13.571	7.229	14.622	46.488	53.84	13.609	53.766	28.059	20.03	16.782	63.388	13.479	27.388	13.469	16.199	25.153	13.506	56.941	71.455	74.889	27.373	29.984	20.966	38.409	59.359	38.456	51.375	30.074	119.677	13.105	45.332	19.772
hsa-mir-1306	9.244	31.815	11.578	33.247	46.792	25.426	20.832	57.464	32.242	21.535	29.076	33.864	18.506	20.242	57.513	64.483	47.11	35.877	26.442	52.293	36.576	15.795	40.608	31.214	48.689	63.304	26.998	16.007	60.025	49.349	34.762	58.039	42.428	15.447	28.513	32.788	21.869	43.949	51.375	51.303	23.203	8.911	37.777	34.272
hsa-mir-1307	2344.88	4699.249	2201.342	10577.349	7997.124	3148.17	5517.731	9192.797	2796.185	2966.534	8606.442	7819.853	7892.182	4790.082	8484.627	7931.411	5590.065	2824.421	2470.59	7312.035	4821.885	2481.818	4522.309	4296.131	3835.273	8665.853	2537.795	3810.691	10280.813	17387.195	15116.652	25097.062	7483.814	3232.874	5171.796	3438.098	1847.942	8171.411	5668.357	7591.935	8014.722	2672.806	4261.248	5819.046
hsa-mir-130a	427.532	421.848	359.654	62.695	405.173	413.415	602.105	240.171	406.92	861.869	482.174	338.644	836.47	563.156	383.095	523.862	489.604	385.992	360.496	153.051	427.586	815.426	514.034	483.102	535.579	342.109	746.22	738.586	333.14	356.829	421.972	108.589	526.933	666.928	455.373	707.293	488.15	444.201	320.807	583.791	185.622	374.79	290.343	403.359
hsa-mir-130b	54.693	50.669	104.206	271.677	60.616	58.387	43.68	66.305	93.391	148.351	96.919	129.814	60.453	107.715	127.698	153.959	98.426	90.312	54.647	173.458	157.623	91.81	166.392	56.752	108.536	156.239	35.637	43.446	114.048	74.656	80.146	391.293	68.433	75.416	65.413	95.555	67.169	36.101	71.925	53.956	106.244	98.022	156.505	278.133
hsa-mir-132	496.092	1021.627	693.256	458.811	547.675	373.863	301.053	661.575	868.318	529.755	205.954	705.508	439.209	470.622	315.834	475.375	575.411	429.292	1027.723	436.197	469.387	627.859	305.053	357.538	539.636	336.721	551.835	421.886	276.116	781.987	527.224	1233.791	585.785	338.007	1109.5	619.232	704.499	802.073	832.272	791.656	539.77	730.186	540.751	342.064
hsa-mir-133a-1	17.718	10.605	12.302	5.7	37.221	25.426	17.472	14.734	15.565	14.357	12.115	19.754	20.973	8.675	6.824	10.997	15.142	22.269	6.17	6.377	20.9	37.514	28.723	24.829	17.244	12.122	20.518	4.573	9.004	16.45	5.794	0	9.581	6.36	13.418	28.104	34.366	4.709	11.417	32.728	34.194	26.209	7.555	4.614
