	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
ENSG00000155980.13	180.3541314	2.703336986	111.771797	20.99675489	7.076826143	4.371699818	2.238551365	8.178945795	13.12161602	1.941598644	0	96.43997864	57.69289584	10.26005978	0	15.80726983	12.74955571	2.203225984	23.16497207	6.143983137	5.627697979	14.51693686	17.66908296	5.982745464	15.33780574	0	17.26393977	7.802284697	1.68209145	7.280251962	3.688176314	7.081961681	69.7314407	7.11516132	4.563649427	190.7565548	20.94648142	14.8371034	9.415196436	26.03662266	307.3504652	217.8382656	38.08315886	4.557854775
ENSG00000156096.14	3.279166026	171.2113424	0.77083998	107.7224816	2087.663712	14.57233273	143.2672874	2859.904713	0	675.6763282	69980.60776	1411.448659	108.7544243	34248.07954	58874.99003	66.10312838	55.24807474	39431.13544	26.59681978	75.26379343	37576.1394	87.10162118	74.07423241	48081.33105	3661.606164	138530.2952	1609.689744	179.452548	69078.44956	272.4894306	4640.647847	15845.88926	56.41195203	5160.073104	2080.111409	25875.3473	34.03803231	13073.96094	483.313417	28.16206125	15.79531299	937.8443936	147.0187063	70284.39956
ENSG00000156103.16	143.4635136	89.21012052	110.2301171	75.77089807	40.88832883	46.63146473	41.41320025	139.0420785	48.98736649	11.64959187	17.27276509	13.51962317	53.0509387	35.91020922	26.89867401	35.20710099	84.99703806	11.01612992	265.1102359	56.83184402	58.15287911	101.618558	94.46163582	41.87921825	126.8318552	57.19586649	235.4801385	10.40304626	21.86718884	82.16284357	46.10220392	19.47539462	27.42247668	28.46064528	73.01839083	80.90453103	87.27700592	60.1726971	54.92197921	34.00701735	20.40227927	63.95832799	201.0436526	18.2314191
ENSG00000156234.7	320.5384791	579.4152272	39.31283896	524.0059698	1356.391677	11.65786618	4.47710273	5.45263053	14138.97865	0	45.34100836	1.802616423	15.91528161	20.52011956	14.48390139	5.74809812	260.6575834	429.6290669	12.011467	11.51996838	24.38669124	5.530261663	121.6448404	45.86771523	8.258818478	17.15875995	290.0341882	5.201523132	90.83293828	1.040035995	0.922044078	10.62294252	70.51494003	868.0496811	3.650919541	0.742243404	1.745540118	9.067118742	0.784599703	2.125438585	1.316276082	2217.010953	729.7796023	63.80996685
ENSG00000156414.19	40.98957533	10.81334794	35.45863906	15.51934057	11.79471024	2.914466546	1.119275683	9.08771755	24.49368325	0	17.27276509	6.309157481	11.93646121	61.56035867	22.76041647	7.903634916	12.74955571	11.01612992	7.721657356	139.7756164	7.503597305	11.75180603	29.22194489	47.86196372	21.82687741	41.94363542	9.667806272	22.53993357	16.8209145	23.92082788	5.532264471	5.311471261	7.051494003	11.06802872	6.389109197	19.2983285	36.65634248	4.945701132	9.415196436	2.656798231	14.4790369	36.72854479	130.191264	129.8988611
ENSG00000156463.18	776.3425567	211.7613972	2743.419487	369.7254665	153.3312331	4619.429475	742.0797775	39.07718546	15.74593923	2996.857508	1012.615853	1816.136046	25.19919588	451.4426302	444.8626856	450.5071902	169.2857675	749.0968346	19.73312435	76.03179132	574.0251938	6.912827078	931.0247559	638.1595162	84.35793159	892.2555172	210.6200652	14.73764887	837.6815419	61.36212368	1.844088157	95.6064827	4.700996002	804.0132292	3925.651237	443.8615555	25.31033172	330.5376923	237.73371	61.10635931	3293.980895	252.6670581	282.5238994	918.4077372
ENSG00000156466.10	47.54790738	8.110010957	50.10459868	0	17.29890835	2.914466546	3.357827048	26.35438089	55.9855617	0	17.27276509	1.802616423	6.631367338	35.91020922	10.34564385	3.592561325	21.95756817	24.23548582	3.431847714	28.41592201	5.627697979	113.3703641	8.154961366	25.92523035	4.719324844	38.13057766	71.12743186	6.068443654	33.64182899	4.160143978	1.844088157	5.311471261	204.4933261	58.50243752	37.4219253	8.164677443	11.34601077	4.12141761	6.276797624	14.87807009	5.923242369	30.39603707	2.656964571	11.39463694
ENSG00000156510.13	1305.92787	5607.62202	682.964222	3852.448071	5006.461339	3198.627034	3761.885569	8149.865099	111.9711234	2657.077745	265.5687633	8819.300851	3626.03166	187.2460909	933.1770754	2468.808143	17694.96671	248.9645362	7882.096236	2294.009704	729.7248379	4114.514677	1761.471655	705.9639648	2920.082248	148.7092529	3952.061092	3709.552913	185.0300595	4808.086403	27133.91314	1648.326581	9238.240644	2585.965853	7849.477014	8914.343281	2349.496999	4772.601592	4637.768844	3137.147351	194.1507221	3240.344201	985.733856	70.64674901
ENSG00000156535.15	1067.368542	155.8924328	1510.07552	175.2772582	462.3526413	42.25976491	136.5516333	156.3087419	95.35040978	18.44518712	66.93196472	244.2545253	218.8351221	248.8064496	101.3873097	206.9315323	301.7394851	165.2419488	224.7860252	162.8155531	210.1007245	985.0778586	231.0572387	181.4766124	283.7494063	181.1202439	327.3242981	65.88595967	169.8912364	222.5677028	130.9302591	146.9507049	297.7297468	147.8372408	130.5203736	487.6539164	916.4085621	583.5927336	3008.939861	585.5583301	765.4145417	752.3019174	2883.692215	154.9670623
ENSG00000156689.7	19.67499616	1.802224657	10.79175971	42.90641216	11.00839622	2.914466546	1.119275683	1.81754351	14.87116483	12.62039119	0	8.111773905	2.652546935	10.26005978	8.276515081	0	11.33293841	19.82903386	1.715923857	0.767997892	13.13129528	2.073848123	54.36640911	13.95973942	1.179831211	3.813057766	233.4084657	0	0	5.200179973	0.922044078	0	2.350498001	3.16229392	11.86548851	34.14319658	6.109390414	1.648567044	1.569199406	5.313596462	6.58138041	4.432755405	24.798336	4.557854775
