	TCGA.P7.A5NX.01A	TCGA.P7.A5NY.01A	TCGA.P7.A5NY.05A	TCGA.P8.A5KC.01A	TCGA.P8.A5KC.11A	TCGA.P8.A5KD.01A	TCGA.P8.A5KD.11A	TCGA.P8.A6RX.01A	TCGA.P8.A6RY.01A	TCGA.PR.A5PF.01A	TCGA.PR.A5PG.01A	TCGA.PR.A5PH.01A	TCGA.QR.A6GO.01A	TCGA.QR.A6GR.01A	TCGA.QR.A6GS.01A	TCGA.QR.A6GT.01A	TCGA.QR.A6GU.01A	TCGA.QR.A6GW.01A	TCGA.QR.A6GX.01A	TCGA.QR.A6GY.01A	TCGA.QR.A6GZ.01A	TCGA.QR.A6GZ.05A	TCGA.QR.A6H0.01A	TCGA.QR.A6H1.01A	TCGA.QR.A6H2.01A	TCGA.QR.A6H3.01A	TCGA.QR.A6H4.01A	TCGA.QR.A6H5.01A	TCGA.QR.A6H6.01A	TCGA.QR.A6ZZ.01A	TCGA.QR.A700.01A	TCGA.QR.A702.01A	TCGA.QR.A703.01A	TCGA.QR.A705.01A	TCGA.QR.A706.01A	TCGA.QR.A707.01A	TCGA.QR.A708.01A	TCGA.QR.A70A.01A	TCGA.QR.A70C.01A	TCGA.QR.A70D.01A	TCGA.QR.A70E.01A	TCGA.QR.A70G.01B	TCGA.QR.A70H.01A	TCGA.QR.A70I.01A	TCGA.QR.A70J.01A	TCGA.QR.A70K.01A	TCGA.QR.A70M.01A	TCGA.QR.A70N.01A	TCGA.QR.A70O.01A	TCGA.QR.A70P.01A	TCGA.QR.A70Q.01A	TCGA.QR.A70R.01A	TCGA.QR.A70T.01A	TCGA.QR.A70U.01A	TCGA.QR.A70V.01A	TCGA.QR.A70W.01A	TCGA.QR.A70X.01A	TCGA.QR.A7IN.01A	TCGA.QR.A7IP.01A	TCGA.QT.A5XJ.01A	TCGA.QT.A5XK.01A	TCGA.QT.A5XL.01A	TCGA.QT.A5XM.01A	TCGA.QT.A5XN.01A	TCGA.QT.A5XO.01A	TCGA.QT.A5XP.01A	TCGA.QT.A69Q.01A	TCGA.QT.A7U0.01A	TCGA.RM.A68T.01A	TCGA.RM.A68W.01A	TCGA.RT.A6Y9.01A	TCGA.RT.A6YA.01A	TCGA.RT.A6YC.01A	TCGA.RW.A67V.01A	TCGA.RW.A67W.01A	TCGA.RW.A67X.01A	TCGA.RW.A67Y.01A	TCGA.RW.A680.01A	TCGA.RW.A681.01A	TCGA.RW.A684.01A	TCGA.RW.A685.01A	TCGA.RW.A686.01A	TCGA.RW.A686.06A	TCGA.RW.A688.01A	TCGA.RW.A689.01A	TCGA.RW.A68A.01A	TCGA.RW.A68B.01A	TCGA.RW.A68C.01A	TCGA.RW.A68D.01A	TCGA.RW.A68F.01A	TCGA.RW.A68G.01A	TCGA.RW.A7CZ.01A	TCGA.RW.A7D0.01A	TCGA.RW.A8AZ.01A	TCGA.RX.A8JQ.01A	TCGA.S7.A7WL.01A	TCGA.S7.A7WM.01A	TCGA.S7.A7WN.01A	TCGA.S7.A7WO.01A	TCGA.S7.A7WP.01A	TCGA.S7.A7WQ.01A	TCGA.S7.A7WR.01A	TCGA.S7.A7WT.01A	TCGA.S7.A7WU.01A	TCGA.S7.A7WV.01A	TCGA.S7.A7WW.01A	TCGA.S7.A7WX.01A	TCGA.S7.A7X0.01A	TCGA.S7.A7X1.01A	TCGA.S7.A7X2.01A	TCGA.SA.A6C2.01A	TCGA.SP.A6QC.01A	TCGA.SP.A6QD.01A	TCGA.SP.A6QF.01A	TCGA.SP.A6QG.01A	TCGA.SP.A6QH.01A	TCGA.SP.A6QI.01A	TCGA.SP.A6QJ.01A	TCGA.SP.A6QK.01A	TCGA.SQ.A6I4.01A	TCGA.SQ.A6I4.11A	TCGA.SQ.A6I6.01A	TCGA.SR.A6MP.01A	TCGA.SR.A6MQ.01A	TCGA.SR.A6MR.01A	TCGA.SR.A6MS.01A	TCGA.SR.A6MT.01A	TCGA.SR.A6MU.01A	TCGA.SR.A6MV.01A	TCGA.SR.A6MX.01A	TCGA.SR.A6MX.05A	TCGA.SR.A6MX.06A	TCGA.SR.A6MY.01A	TCGA.SR.A6MZ.01A	TCGA.SR.A6N0.01A	TCGA.TT.A6YJ.01A	TCGA.TT.A6YK.01A	TCGA.TT.A6YN.01A	TCGA.TT.A6YO.01A	TCGA.TT.A6YP.01A	TCGA.W2.A7H5.01B	TCGA.W2.A7H7.01A	TCGA.W2.A7HA.01B	TCGA.W2.A7HB.01A	TCGA.W2.A7HC.01A	TCGA.W2.A7HD.01A	TCGA.W2.A7HE.01A	TCGA.W2.A7HF.01A	TCGA.W2.A7HH.01A	TCGA.W2.A7UY.01A	TCGA.WB.A80K.01A	TCGA.WB.A80L.01A	TCGA.WB.A80M.01A	TCGA.WB.A80N.01A	TCGA.WB.A80O.01A	TCGA.WB.A80P.01A	TCGA.WB.A80Q.01A	TCGA.WB.A80V.01A	TCGA.WB.A80Y.01A	TCGA.WB.A814.01A	TCGA.WB.A815.01A	TCGA.WB.A816.01A	TCGA.WB.A817.01A	TCGA.WB.A818.01A	TCGA.WB.A819.01A	TCGA.WB.A81A.01A	TCGA.WB.A81D.01A	TCGA.WB.A81E.01A	TCGA.WB.A81F.01A	TCGA.WB.A81G.01A	TCGA.WB.A81H.01A	TCGA.WB.A81I.01A	TCGA.WB.A81J.01A	TCGA.WB.A81K.01A	TCGA.WB.A81M.01A	TCGA.WB.A81N.01A	TCGA.WB.A81P.01A	TCGA.WB.A81Q.01A	TCGA.WB.A81R.01A	TCGA.WB.A81S.01A	TCGA.WB.A81T.01A	TCGA.WB.A81V.01A	TCGA.WB.A81W.01A	TCGA.WB.A820.01A	TCGA.WB.A821.01A	TCGA.WB.A822.01A	TCGA.XG.A823.01A
hsa-mir-148b	1256.723	765.863	657.777	924.421	530.861	928.014	506.951	1345.534	1341.758	1044.315	1091.681	1382.589	1334.412	828.352	1071.783	979.165	1122.948	818.109	1673.063	1447.752	1119.024	1218.831	424.831	1030.808	1912.572	811.113	1167.896	945.869	1172.361	1494.979	1389.991	1626.574	1123.85	816.676	1136.989	1157.096	1069.117	1151.656	895.58	1128.383	861.214	875.006	1562.66	929.519	1257.98	741.573	1171.815	1288.211	1182.449	904.5	869.5	1130.495	1114.283	972.775	1243.166	1269.866	976.374	1533.813	1525.49	1295.028	937.748	1075.571	848.637	1062.311	1128.094	1006.351	2815.884	1345.708	989.794	754.219	997.469	1725.607	1269.534	1740.514	1198.725	1100.301	1868.737	925.822	2229.116	838.052	875.978	1624.696	1323.05	1130.465	979.189	842.229	1040.538	1200.147	2012	1911.985	1330.941	1295.773	875.908	957.943	798.653	1314.249	724.085	1070.224	409.352	851.343	1324.845	1016.987	1623.592	1379.428	732.755	881.408	778.954	1092.012	1446.237	753.245	819.381	967.985	1142.244	915.432	1203.868	855.773	1742.436	958.27	804.224	656.782	604.022	1171.291	1263.171	1351.931	1355.557	2150.348	1323.752	1195.547	1130.816	709.248	1116.622	1301.305	1499.452	827.19	820.479	1792.51	768.402	1044.822	381.988	939.07	1030.241	1143.297	679.642	1362.148	1078.419	1618.002	682.723	1285.927	1095.178	1232.908	1440.558	1878.637	1798.006	931.17	662.495	1115.207	1193.323	1148.081	1095.311	1076.766	1233.633	988.896	1082.783	1219.563	900.524	1906.881	1144.899	1246.451	1085.226	882.469	668.63	1466.98	840.075	1725.119	2700.628	716.85	786.783	498.32	1360.631	1181.87	823.544	1028.02	1269.607	974.82	1975.433	629.396	1322.626
hsa-mir-149	1049.98	2095.81	1206.819	87.858	160.493	2428.705	114.646	211.895	302.089	336.906	1396.97	409.801	2564.832	265.247	1426.795	198.796	215.683	1208.174	364.87	82.332	576.525	3587.699	283.528	2047.615	94.847	531.73	3390.361	850.409	143.227	744.658	47.8	437.251	1351.755	1251.341	1027.306	2329.144	99.491	756.98	139.247	502.984	1307.686	2519.904	310.275	379.992	201.609	142.921	9194.24	1041.143	2976.307	660.699	1423.11	655.671	4435.404	998.667	732.658	4129.357	563.973	367.453	246.905	857.061	3890.122	237.151	1503.617	5482.486	475.376	754.114	1067.819	495.835	259.302	1526.149	3145.199	691.473	1940.635	2259.633	1696.371	1852.764	1475.868	1751.656	72.368	934.012	1495.273	394.052	463.214	5801.632	1131.225	357.278	483.048	1448.818	357.097	370.482	384.443	440.302	2209.077	47.592	1317.858	480.755	2169.97	993.238	580.97	650.867	249.682	781.877	1841.662	2570.998	328.681	182.1	4574.524	808.569	1954.594	1625.839	743.073	184.611	284.388	4318.346	1091.909	141.537	3373.514	2592.064	3034.377	140.381	125.693	4347.291	1198.046	1528.661	816.953	164.634	286.187	298.887	993.296	830.701	333.418	500.684	189.69	1414.868	152.987	484.285	250.303	2456.622	225.678	1324.416	510.891	769.508	3597.876	2098.519	4006.411	3138.619	3168.594	1903.444	557.97	812.487	389.73	156.745	240.061	3572.968	4918.453	556.982	2787.348	3194.729	1272.397	154.484	427.906	147.4	434.457	2452.627	1055.712	2702.115	1999.03	886.867	1106.769	271.343	1642.826	153.013	3349.799	238.465	1334.856	4086.328	572.086	923.839	2482.865	1704.644	692.615	257.281	1118.174	1872.68	438.342	325.238	189.511
hsa-mir-150	147.092	289.846	632.271	1101.093	403.878	1139.605	257.954	799.904	263.501	328.507	177.177	171.514	730.562	1260.465	776.166	688.996	124.869	341.01	160.187	117.616	156.008	164.688	1210.767	449.775	312.682	287.702	303.464	352.928	780.957	184.041	91.806	122.43	216.803	339.442	388.523	241.719	381.474	222.479	494.694	1237.474	232.301	832.392	616.32	194.589	835.724	210.337	121.493	371.11	272.308	313.69	628.567	334.762	291.245	178.465	69.694	184.52	931.748	157.795	155.119	15.618	872.018	320.49	513.129	121.488	264.782	559.084	605.283	1207.569	361.149	403.677	250.809	557.923	748.042	151.789	505.302	1393.123	32.968	280.833	25.245	486.998	801.621	211.143	421.104	52.86	170.136	269.76	167.082	215.066	185.655	291.359	174.537	419.823	1834.124	92.744	287.388	279.98	859.993	205.715	752.588	216.775	496.817	694.395	1163.588	151.731	3002.176	480.572	1339.215	624.642	235.481	681.186	360.794	2745.482	197.1	1401.905	501.97	616.602	241.059	463.814	585.582	907.462	844.933	45.05	580.968	583.108	707.005	298.94	209.944	303.234	417.815	343.035	328.467	193.661	386.907	2032.924	440.447	127.097	277.89	332.099	1218.107	185.328	632.693	363.3	833.078	103.221	979.185	271.036	897.676	178.13	652.695	204.663	1361.65	129.084	126.154	1327.258	1265.563	370.492	334.833	157.92	136.094	232.189	290.715	712.78	379.59	474.025	1026.204	133.801	470.551	250.741	342.892	574.893	967.625	82.578	67.852	632.849	69.107	263.361	633.522	475.762	163.346	472.748	426.829	288.199	277.177	980.102	204.688	562.14	893.971
hsa-mir-151a	8630.986	5676.525	6246.196	8649.259	10322.687	5164.447	11013.188	7328.041	7879.661	5940.185	6886.719	10588.063	6262.209	7041.538	5970.4	7322.745	7643.204	7180.209	7063.057	9275.661	7996.237	6914.815	9882.853	6412.361	7048.897	12958.396	6645.988	8422.818	9893.764	9235.079	4355.103	6383.263	7793.161	7121.551	9092.048	6305.468	6409.758	6490.463	7377.177	5059.82	6104.424	6812.549	7872.535	6808.956	11495.603	3160.451	5465.857	9893.904	6419.428	6471.278	9371.754	7272.412	6710.009	5934.669	6180.984	5485.18	5492.775	10294.2	7541.169	9904.689	6548.901	8395.941	5733.234	7054.762	5681.111	6283.412	9666.193	6342.482	8760.06	7852.88	7270.571	6686.287	8720.034	8862.455	4616.623	8486.512	11178.358	6556.673	6703.335	3797.622	6382.413	7247.604	7497.61	4859.423	6173.776	4863.926	5828.008	8051.547	7674.913	9228.538	7509.709	7390.189	5515.581	6720.245	5280.957	5096.744	3767.753	6138.641	7960.557	7588.739	7993.657	2752.063	8648.734	6620.771	7011.573	5848.754	5417.734	8293.608	9735.574	4978.849	6432.808	5446.037	6261.225	6558.998	7280.416	9623.841	7149.228	3826.116	4746.443	7885.395	13068.53	5364.287	3993.271	7400.677	6736.035	8399.21	5822.078	6325.533	5626.051	3754.843	4875.007	7111.124	8633.895	6847.682	6918.525	4555.781	5573.943	5865.563	8946.662	7531.768	5335.598	4144.094	5167.643	6445.781	5163.739	3740.53	6154.535	7966.643	6559.388	7764.856	5602.492	5570.218	7444.332	6244.745	4894.976	7450.876	4841.357	2597.79	4728.858	5960.141	5905.761	6619.165	6533.65	6283.826	4825.017	6069.872	5242.911	8821.905	5216.084	7419.661	4355.132	6135.085	5550.958	4819.328	8976.633	4982.038	5547.78	4401.823	6445.561	9908.948	4020.834	4176.126	6479.187	5394.708	6522.02	5411.598	8556.178
hsa-mir-152	1782.052	1570.743	855.11	1040.929	1476.181	1053.359	1425.91	2207.241	1225.995	2931.362	1664.097	3282.339	2586.679	1838.79	863.906	734.065	307.37	1318.943	1280.507	7231.273	1271.18	1077.769	815.49	2222.625	2140.83	617	822.249	905.503	2567.588	1019.304	2281.497	2168.765	1601.209	905.177	1102.23	1466.098	2446.602	2388.033	1141.828	2003.609	2507.72	1696.035	4559.639	414.233	638.021	2840.9	1332.499	994.372	789.033	321.817	741.003	3996.364	177.437	1176.207	1153.435	2164.962	1385.697	4395.09	3389.671	328.638	1549.037	1486.671	2244.941	586.249	1304.205	4166.694	1484.898	1643.94	2041.048	649.425	588.103	427.009	2738.547	7070.333	1338.722	1147.33	554.962	3384.189	1305.156	1967.182	688.559	2501.184	2445.341	1309.448	1929.418	1818.309	1521.932	925.553	1589.169	228.991	3486.898	466.367	1183.797	1198.344	1984.725	1456.081	1725.697	2331.018	949.527	1069.204	1513.381	1134.542	2621.776	1960.461	1382.492	1283.321	905.21	1346.134	641.762	912.001	2839.681	1390.304	522.786	1425.869	1265.384	1305.283	1845.934	1995.931	1548.559	1146.11	1274.382	317.6	371.407	3079.289	2256.015	4082.628	411.048	2329.144	2625.14	1174.663	1296.536	497.141	2887.5	814.338	782.475	2736.974	1464.809	647.517	919.361	666.728	1321.212	2023.416	624.563	1559.374	1813.705	596.044	1473.48	2473.459	991.369	708.922	178.025	1400.334	3400.044	812.162	497.421	2211.765	412.778	630.102	1616.731	1185.923	3149.957	1777.798	1491.486	1819.595	1615.261	700.143	852.833	1527.023	1414.653	1091.813	1053.873	3786.46	2058.992	3406.881	5886.824	1018.237	1452.675	1711.307	987.142	2561.344	1391.777	1914.702	3952.142	1035.18	1131.578	419.597	1826.296
hsa-mir-153-2	1022.866	2072.4	1110.166	551.979	171.075	4301.981	103.898	603.901	1251.352	1328.959	1347.905	432.059	1632.404	745.191	982.693	487.113	636.57	1580.042	1180.637	1154.78	525.806	639.99	1413.024	1155.065	2028.265	456.858	2899.278	415.659	416.099	402.059	1669.962	1083.78	733.343	908.538	599.391	1417.921	979.52	686.723	1023.834	658.709	417.009	1036.939	868.771	715.721	315.837	2625.17	1056.854	313.156	1552.377	557.491	772.056	1846.962	1917.146	2038.02	3048.24	1828.011	1010.227	471.178	779.266	2959.693	625.531	647.132	524.231	2535.703	1059.127	1216.983	1685.862	755.645	1050.083	898.864	1142.573	1718.578	4310.148	1817.421	2152.455	388.655	3244.603	762.26	1560.128	690.113	2985.454	1204.251	892.153	2304.516	1478.738	2249.72	1723.754	712.407	1260.498	670.219	1141.796	459.851	1650.203	935.977	2154.618	2050.118	2530.87	1476.606	497.974	752.463	755.417	3060.075	1480.407	651.48	176.2	1955.69	2411.264	626.419	609.421	1792.476	1225.367	1962.109	725.517	2180.741	1045.772	399.055	2825.891	1938.825	1355.583	543.475	13.966	4045.459	1701.638	757.84	297.833	730.743	2383.417	708.634	595.627	933.612	616.494	499.503	2050.456	1300.37	771.757	4439.64	852.509	2866.059	70.293	957.15	2671.183	846.745	727.837	2069.949	1660.67	2828.864	1708.479	2022.197	1596.053	699.059	912.257	1429.148	2106.655	3357.663	2501.779	636.551	2084.748	3546.892	1529.828	464.379	1317.473	796.514	905.865	1824.095	1794.491	1842.925	1126.726	753.837	567.297	1069.269	1145.871	1551.987	1894.208	750.414	1732.221	882.331	1533.27	2126.574	2270.074	1520.798	1653.635	929.746	1003.246	725.833	788.822	549.09	714.049
hsa-mir-154	540.242	771.437	452.389	369.577	657.844	1210.902	591.144	1180.433	314.216	739.14	1127.116	0	1153.519	803.35	559.514	620.467	1880.893	1100.57	215.56	13.9	805.081	2971.335	860.744	1037.808	1264.278	840.923	847.433	1853.009	634.026	1873.442	1069.807	864.249	1737.691	1355.526	847.335	863.877	711.829	1288.725	447.057	901.041	1416.471	792.619	12.693	1117.427	460.332	1198.652	1213.619	1247.541	1365.211	1398.602	1669.397	16.93	626.461	1330.631	1049.765	1149.527	1315.681	1374.914	928.878	172.454	1085.641	892.114	22.203	1726.255	1035.728	4.334	48.646	991.67	1177.1	950.522	774.528	656.328	1357.875	13.155	1058.728	1163.302	1447.296	774.605	722.001	954.004	937.092	848.254	726.649	1934.496	752.944	1164.5	967.75	620.236	2216.309	403.062	77.657	1203.617	907.409	824.929	1022.53	1589.624	999.328	1103.037	806.043	1252.837	2020.389	24.605	18.927	773.708	264.3	677.757	757.536	1249.284	1880.816	1020.09	677.879	1306.167	1337.468	1324.021	821.238	1092.978	1116.207	1607.331	1140.743	1542.184	356.129	1220.846	1786.752	966.521	1629.731	18.774	1249.719	1307.494	1265.708	2195.424	1291.584	987.197	2119.708	1012.957	596.357	1136.206	896.918	1360.241	848.143	2051.037	872.913	800.022	971.761	1349.246	1306.776	1525.31	864.263	1063.689	1667.421	1385.789	516.753	38.034	13.473	1180.996	831.97	917.528	685.036	1178.086	1574.1	1188.698	23.954	96.883	199.313	975.051	1008.718	20.196	752.232	1630.222	971.228	920.312	925.733	1785.15	769.8	52.529	12.73	1099.217	798.674	861.293	1215.827	481.503	1195.383	1155.005	926.178	900.124	2028.536	1574.995	491.261
hsa-mir-155	107.777	66.888	222.839	350.478	123.456	164.444	93.15	52.974	80.483	107.325	85.863	163.659	118.847	156.539	154.558	864.332	92.56	99.692	87.015	83.401	147.662	54.201	804.408	124.257	82.34	393.771	110.179	202.92	81.491	174.131	105.463	54.279	77.057	79.539	394.702	26.581	51.669	141.891	241.851	159.056	83.855	159.092	110.007	177.051	434.46	71.461	50.948	160.645	59.453	86.956	154.197	87.731	53.8	78.599	37.461	60.743	159.267	197.52	64.25	32.538	226.769	159.965	173.921	70.632	67.735	168.159	65.393	86.908	223.011	319.547	126.846	87.862	158.157	69.823	120.31	350.499	10.989	66.659	7.573	115.952	173.158	120.302	154.731	20.402	66.969	90.607	79.405	391.728	140.351	114.496	94.573	227.133	242.856	91.523	219.114	159.331	169.029	127.468	156.145	95.62	184.714	118.466	59.249	84.295	1029.245	142.232	215.312	356.303	134.416	294.993	110.387	321.845	45.99	457.716	115.035	350.565	44.543	111.427	107.42	503.366	118.71	57.438	107.037	79.878	73.762	111.2	34.254	89.123	170.805	298.533	258.317	153.511	264.963	438.13	125.703	55.879	159.467	50.042	118.389	132.216	115.035	258.41	215.4	59.905	216.401	62.186	216.066	27.144	116.784	146.716	206.894	110.644	45.318	110.832	213.495	155.408	273.356	71.064	111.499	126.733	124.126	141.172	125.41	99.005	557.363	60.589	79.182	101.587	149.903	133.659	139.64	38.86	63.813	118.399	21.823	106.33	64.079	118.94	50.328	168.839	206.868	102.692	139.265	135.811	91.723	153.585	274.114
hsa-mir-15a	1421.439	1401.294	1719.617	951.161	1455.017	1003.911	2174.693	1607.754	1713.305	1087.245	813.65	805.201	1288.096	1155.562	2657.186	1629.883	617.359	1220.833	751.494	1384.666	820.489	512.826	2042.881	1204.068	723.338	897.077	1214.486	1212.065	1175.448	843.285	581.945	1121.775	588.373	713.611	730.701	1856.504	995.461	488.352	1371.953	953.505	734.299	884.95	699.53	876.07	2841.56	1034.158	1282.856	1586.116	849.22	1286.454	660.692	1006.594	2353.237	1151.241	1878.252	1802.797	1052.545	567.18	614.969	1298.933	1114.124	981.046	1000.356	1137.181	1220.46	827.791	941.818	2033.656	1072.911	1320.252	2190.973	1286.298	1423.417	1120.203	1044.51	1079.005	1013.217	1255.415	1385.939	1672.105	766.99	783.193	921.532	381.149	866.971	838.111	1450.798	1129.098	654.677	1127.27	1007.241	686.983	680.81	1475.354	1170.194	952.301	989.049	903.632	984.695	702.48	676.435	1283.992	1972.504	1927.345	2372.77	1116.306	1354.997	609.537	521.494	1441.187	1256.483	1896.76	838.146	710.538	658.836	861.015	879.079	839.879	1133.138	1412.833	1078.861	1050.783	495.854	593.093	392.471	646.982	1776.789	1057.516	1005.559	979.968	1106.718	614.046	635.31	1386.828	1346.676	1353.148	822.231	1059.987	1359.619	462.19	475.366	681.783	1842.215	2174.092	1027.009	1695.441	735.069	983.955	515.149	784.13	872.803	887.455	608.725	700.422	992.641	522.171	1120.867	1069.121	427.958	1145.22	1460.108	961.215	534.113	369.019	1206.528	1040.117	1045.597	898.96	744.129	663.462	572.525	619.338	1065.441	955.528	718.349	1466.797	1338.39	1214.013	1101.926	909.227	830.091	878.952	966.74	1411.678	901.786	567.159	915.968
hsa-mir-15b	1061.503	1583.006	2063.272	762.074	802.464	1214.352	1438.45	789.309	918.393	540.356	1514.179	802.582	873.004	1519.189	3013.547	1258.221	465.421	600.527	959.144	1595.307	307.523	271.701	805.331	581.033	1431.042	556.687	1659.608	1029.874	930.357	559.673	445.374	489.118	373.528	672.161	715.252	416.987	724.471	364.37	1328.713	696.183	902.009	1318.191	806.716	1308.676	3689.001	1464.27	832.158	354.843	786.831	868.743	379.068	1412.926	1496.056	908.972	873.788	856.128	877.121	391.729	294.634	544.693	685.783	884.843	948.549	735.989	1258.638	825.191	918.691	2189.176	556.064	714.368	1347.256	974.388	1652.817	2425.589	964.668	921.945	846.729	556.728	1026.622	2250.265	696.708	939.709	837.311	398.769	946.609	1246.87	1348.233	505.982	1050.859	792.161	1465.497	317.427	981.586	2025.714	1125.736	728.501	800.605	632.29	748.368	451.478	356.689	1106.293	2305.78	2243.452	2050.019	647.587	884.919	250.568	394.153	917.631	1163.136	2047.88	384.815	1150.281	268.21	1444.199	1011.399	679.703	787.113	963.615	785.578	1185.932	521.646	953.541	450.925	1217.423	853.036	746.674	864.536	415.351	471.242	368.428	871.67	1223.259	989.057	990.482	735.432	691.494	1248.629	1126.658	2432.654	439.583	1791.069	1087.507	932.558	774.388	860.922	919.489	894.049	437.682	853.557	1356.538	987.188	667.717	1377.813	506.008	1441.429	672.741	465.671	822.376	1095.353	496.87	1796.054	684.036	1568.267	2957.937	1237.062	397.478	320.451	398.56	773.771	740.776	1050.094	1682.596	1278.479	966.128	1036.493	945.372	441.477	1246.904	568.233	1733.611	877.503	630.011	691.305	472.8	471.52
hsa-mir-16-1	1306.205	1542.873	2306.246	1156.481	1070.54	1844.528	1678.49	1185.73	1773.943	869.796	1148.922	788.18	1020.689	1170.238	4428.868	1265.629	600.768	903.559	678.322	1338.689	731.892	510.047	1218.156	801.545	766.071	574.018	1610.5	1409.531	782.191	794.207	424.888	727.948	462.339	653.117	646.508	1216.072	887.175	570.318	1541.248	797.779	632.313	1214.497	882.875	1233.513	4802.486	1454.832	944.506	868.297	892.525	1344.154	659.621	1293.643	3116.784	882.155	1866.927	1464.701	909.436	492.144	390.092	948.169	1071.399	724.318	1120.004	1415.473	1194.597	1148.506	917.894	3333.622	851.656	914.361	1663.41	931.336	1568.751	1621.107	977.792	1111.836	728.593	844.35	860.006	2725.267	870.885	861.758	994.981	336.636	769.233	875.177	2138.976	762.333	541.863	709.315	1187.929	443.095	1832.091	1082.415	1108.271	1225.834	1404.77	967.997	1219.615	962.718	938.857	2082.272	3077.666	1685.298	2244.855	1341.507	2018.968	539.342	691.283	1853.276	1123.13	2096.892	736.78	1250.93	535.189	1273.175	1241.977	995.876	1305.201	1027.789	1103.301	1357.121	951.731	1364.912	736.232	700.416	1486.182	957.525	854.9	1415.715	828.594	637.663	1056.843	1850.662	1400.27	1348.765	1061.767	867.4	2319.676	810.244	1184.185	718.971	3077.571	1336.343	1532.742	1375.126	1190.59	1464.057	836.955	631.249	757.328	436.812	874.507	967.508	3280.192	645.254	1407.397	1340.744	506.663	842.727	1300.051	963.291	870.034	732.038	1429.473	998.882	1145.548	524.058	563.707	790.679	1098.229	1185.242	1142.987	957.195	691.07	1535.806	1446.73	1646.71	1024.226	1418.244	1012.082	999.311	717.957	1109.876	887.304	1076.096	922.736
hsa-mir-16-2	1263.501	1549.562	2421.693	1182.266	1104.05	1946.874	1832.546	1222.812	1652.667	789.536	1204.801	806.51	976.122	1185.457	4557.104	1266.864	619.106	954.988	644.703	1306.612	729.324	503.098	1214.461	791.045	688.943	547.675	1611.759	1333.708	762.436	763.534	389.987	750.866	513.275	648.636	647.28	1226.871	911.361	540.011	1466.494	764.469	675.373	1322.453	843.385	1230.172	4813.225	1338.877	974.553	810.342	951.978	1362.032	684.249	1317.499	3114.198	863.662	1854.731	1518.567	895.586	519.731	379.078	910.424	1168.899	702.505	1150.841	1464.916	1166.272	1131.17	929.058	3483.654	844.047	854.585	1690.316	965.602	1597.248	1767.836	986.542	1171.288	702.219	849.905	828.871	2837.221	919.776	847.027	1015.546	361.675	827.152	932.836	2246.504	711.447	577.395	627.399	1157.173	419.823	1943.866	1021.399	1101.919	1218.466	1467.585	983.142	1242.123	1002.922	923.57	2014.838	3096.592	1702.759	2396.489	1457.878	1907.367	579.326	647.825	1881.424	1105.349	1993.15	721.763	1286.877	517.965	1227.962	1209.224	944.342	1283.336	1058.873	963.643	1233.234	1006.539	1352.93	708.397	720.634	1506.072	941.222	868.915	1370.286	774.95	670.727	983.075	1746.679	1351.548	1254.538	1046.292	902.278	2290.079	794.424	1317.829	723.738	3190.68	1273.673	1536.329	1419.712	1215.092	1362.269	895.347	647.277	763.101	443.727	923.499	1019.291	3312.473	636.551	1408.495	1396.016	480.428	798.324	1350.137	1013.808	823.005	738.038	1457.887	909.681	1148.144	502.289	548.447	829.327	1108.908	1148.811	1142.179	979.708	701.072	1432.996	1431.536	1647.736	1033.056	1409.489	1006.845	1084.335	707.14	1198.908	889.235	1131.306	868.026
