	TCGA.2J.AAB1.01A	TCGA.2J.AAB4.01A	TCGA.2J.AAB6.01A	TCGA.2J.AAB8.01A	TCGA.2J.AAB9.01A	TCGA.2J.AABA.01A	TCGA.2J.AABE.01A	TCGA.2J.AABF.01A	TCGA.2J.AABH.01A	TCGA.2J.AABI.01A	TCGA.2J.AABK.01A	TCGA.2J.AABO.01A	TCGA.2J.AABP.01A	TCGA.2J.AABR.01A	TCGA.2J.AABT.01A	TCGA.2J.AABU.01A	TCGA.2J.AABV.01A	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.2L.AAQL.01A	TCGA.2L.AAQM.01A	TCGA.3A.A9I5.01A	TCGA.3A.A9I7.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IB.01A	TCGA.3A.A9IC.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IJ.01A	TCGA.3A.A9IL.01A	TCGA.3A.A9IN.01A	TCGA.3A.A9IO.01A	TCGA.3A.A9IR.01A	TCGA.3A.A9IS.01A	TCGA.3A.A9IU.01A	TCGA.3A.A9IV.01A	TCGA.3A.A9IX.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.3E.AAAY.01A	TCGA.3E.AAAZ.01A	TCGA.F2.6879.01A	TCGA.F2.6880.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A44G.01A	TCGA.F2.A44H.01A	TCGA.F2.A7TX.01A	TCGA.F2.A8YN.01A	TCGA.FB.A4P5.01A	TCGA.FB.A4P6.01A	TCGA.FB.A545.01A	TCGA.FB.A5VM.01A	TCGA.FB.A78T.01A	TCGA.FB.A7DR.01A	TCGA.FB.AAPP.01A	TCGA.FB.AAPQ.01A	TCGA.FB.AAPS.01A	TCGA.FB.AAPU.01A	TCGA.FB.AAPY.01A	TCGA.FB.AAPZ.01A	TCGA.FB.AAQ0.01A	TCGA.FB.AAQ1.01A	TCGA.FB.AAQ2.01A	TCGA.FB.AAQ3.01A	TCGA.FB.AAQ6.01A	TCGA.H6.8124.01A	TCGA.H6.8124.11A	TCGA.H6.A45N.01A	TCGA.H6.A45N.11A	TCGA.H8.A6C1.01A	TCGA.HV.A5A3.01A	TCGA.HV.A5A3.11A	TCGA.HV.A5A4.01A	TCGA.HV.A5A5.01A	TCGA.HV.A5A6.01A	TCGA.HV.A7OL.01A	TCGA.HV.A7OP.01A	TCGA.HV.AA8V.01A	TCGA.HV.AA8X.01A	TCGA.HZ.7289.01A	TCGA.HZ.7918.01A	TCGA.HZ.7919.01A	TCGA.HZ.7920.01A	TCGA.HZ.7922.01A	TCGA.HZ.7923.01A	TCGA.HZ.7924.01A	TCGA.HZ.7925.01A	TCGA.HZ.7926.01A	TCGA.HZ.8001.01A	TCGA.HZ.8002.01A	TCGA.HZ.8003.01A	TCGA.HZ.8005.01A	TCGA.HZ.8315.01A	TCGA.HZ.8317.01A	TCGA.HZ.8519.01A	TCGA.HZ.8636.01A	TCGA.HZ.8637.01A	TCGA.HZ.8638.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A49H.01A	TCGA.HZ.A49I.01A	TCGA.HZ.A4BH.01A	TCGA.HZ.A4BK.01A	TCGA.HZ.A77O.01A	TCGA.HZ.A77P.01A	TCGA.HZ.A77Q.01A	TCGA.HZ.A8P0.01A	TCGA.HZ.A8P1.01A	TCGA.HZ.A9TJ.01A	TCGA.HZ.A9TJ.06A	TCGA.IB.7644.01A	TCGA.IB.7645.01A	TCGA.IB.7646.01A	TCGA.IB.7647.01A	TCGA.IB.7649.01A	TCGA.IB.7651.01A	TCGA.IB.7652.01A	TCGA.IB.7654.01A	TCGA.IB.7885.01A	TCGA.IB.7886.01A	TCGA.IB.7887.01A	TCGA.IB.7888.01A	TCGA.IB.7889.01A	TCGA.IB.7890.01A	TCGA.IB.7891.01A	TCGA.IB.7893.01A	TCGA.IB.7897.01A	TCGA.IB.8126.01A	TCGA.IB.8127.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A5SQ.01A	TCGA.IB.A5SS.01A	TCGA.IB.A5ST.01A	TCGA.IB.A6UF.01A	TCGA.IB.A6UG.01A	TCGA.IB.A7LX.01A	TCGA.IB.A7M4.01A	TCGA.IB.AAUM.01A	TCGA.IB.AAUN.01A	TCGA.IB.AAUO.01A	TCGA.IB.AAUP.01A	TCGA.IB.AAUQ.01A	TCGA.IB.AAUR.01A	TCGA.IB.AAUS.01A	TCGA.IB.AAUT.01A	TCGA.IB.AAUU.01A	TCGA.IB.AAUV.01A	TCGA.IB.AAUW.01A	TCGA.L1.A7W4.01A	TCGA.LB.A7SX.01A	TCGA.LB.A8F3.01A	TCGA.LB.A9Q5.01A	TCGA.M8.A5N4.01A	TCGA.OE.A75W.01A	TCGA.PZ.A5RE.01A	TCGA.Q3.A5QY.01A	TCGA.Q3.AA2A.01A	TCGA.RB.A7B8.01A	TCGA.RB.AA9M.01A	TCGA.RL.AAAS.01A	TCGA.S4.A8RM.01A	TCGA.S4.A8RO.01A	TCGA.S4.A8RP.01A	TCGA.US.A774.01A	TCGA.US.A776.01A	TCGA.US.A779.01A	TCGA.US.A77E.01A	TCGA.US.A77G.01A	TCGA.US.A77J.01A	TCGA.XD.AAUG.01A	TCGA.XD.AAUH.01A	TCGA.XD.AAUI.01A	TCGA.XD.AAUL.01A	TCGA.XN.A8T3.01A	TCGA.XN.A8T5.01A	TCGA.YB.A89D.01A	TCGA.YB.A89D.11A	TCGA.YH.A8SY.01A	TCGA.YY.A8LH.01A	TCGA.Z5.AAPL.01A
hsa-mir-136	282.683	276.453	307.356	260.098	462.294	384.104	304.775	348.799	334.765	238.386	409.361	273.08	102.022	498.386	199.681	205.016	711.892	418.047	547.278	573.455	390.093	616.702	2911.165	967.638	380.932	286.715	419.893	442.69	402.45	8540.595	105.993	987.503	74.699	6707.692	185.24	301.357	1245.071	238.799	207.276	294.742	303.767	466.782	187.381	331.944	752.165	447.642	344.095	612.166	483.162	334.447	393.818	272.754	249.204	406.657	461.871	306.05	210.701	389.454	571.799	363.535	234.999	140.691	273.231	526.611	395.277	466.081	264.713	339.167	490.903	369.008	971.912	309.16	381.775	492.212	517.793	323.609	286.096	266.303	48.27	352.434	476.476	1307.205	423.132	377.103	494.707	315.565	320.57	350.004	505.495	236.351	523.119	328.026	667.542	333.486	256.205	376.474	387.277	279.451	751.124	567.819	308.801	443.778	205.646	496.233	389.922	205.635	272.815	413.578	416.47	425.999	359.293	1136.778	331.407	306.754	209.246	491.207	217.598	374.515	416.805	502.543	222.521	245.547	289.823	495.939	322.211	394.708	317.835	487.802	452.255	506.337	235.815	520.861	568.265	527.292	254.054	246.528	292.99	362.744	296.103	431.348	727.924	421.572	480.821	553.846	392.413	448.275	527.887	301.541	431.775	540.81	450.987	408.381	269.112	1058.314	797.205	326.484	379.194	232.957	230.224	309.829	251.925	467.007	471.683	529.568	408.546	605.225	383.914	237.193	394.177	422.069	427.557	603.778	419.506	349.671	266.896	332.944	574.495	442.581	483.428	226.165	620.427	344.55	54.327
hsa-mir-139	197.376	145.753	790.184	77.066	199.562	240.262	155.774	102.365	86.456	87.708	234.379	276.08	469.58	263.068	1174.869	125.87	243.625	112.425	142.768	275.046	145.409	278.984	44.441	228.393	453.135	136.129	292.883	201.442	237.475	714.342	1852.575	516.333	2507.249	2166.711	379.773	173.406	1814.337	210.777	122.87	205.038	348.522	825.377	58.047	723.002	319.075	338.461	135.827	106.571	221.274	149.365	438.77	653.754	147.868	395.93	126.332	705.104	237.518	43.273	222.366	129.208	102.696	207.593	182.623	181.889	218.613	96.289	112.252	161.974	124.643	228.529	7740.273	194.621	108.093	183.192	101.487	161.048	94.272	68.328	190.398	80.657	150.793	137.36	189.234	208.634	787.208	200.211	578.321	919.094	95.395	322.728	438.615	388.239	467.968	155.208	157.1	533.506	462.221	122.518	214.257	518.816	237.967	576.091	307.963	424.567	272.392	226.459	1236.707	199.881	174.181	121.2	138.927	486.031	189.71	727.32	177.054	186.013	225.33	182.615	106.209	251.271	246.193	159.105	218.048	383.893	219.506	130.437	218.305	113.763	1064.397	379.753	98.498	232.02	168.824	182.725	125.497	502.131	121.657	234.566	144.856	91.661	465.785	207.359	132.829	220.004	115.214	550.119	249.043	232.554	167.63	297.296	839.652	90.517	364.603	283.571	356.958	180.344	78.103	80.198	753.91	171.876	145.987	499.802	555.745	204.847	261.534	125.08	279.21	213.862	200.653	101.51	261.79	376.572	244.119	762.385	300.419	169.393	163.36	484.13	165.028	371.302	96.733	152.566	445.757
hsa-mir-140	6914.022	4150.21	1993.902	4140.243	5732.73	7103.545	5022.021	3906.927	3247.123	3295.792	4608.919	5583.877	7820.739	4953.893	8027.187	4009.732	3549.97	3502.645	4279.241	3161.438	4932.802	7000.107	2207.614	4249	3625.08	3755.005	7871.814	3319.574	8378.943	3708.097	3040.773	4226.487	4566.998	3435.688	5246.201	3383.387	3077.378	4064.454	3007.641	5116.328	6249.592	5008.179	4902.444	3314.897	5860.653	9202.469	3529.99	2511.863	3709.843	3740.616	7358.431	5319.054	1814.743	3601.405	4257.902	5507.812	5575.928	3251.814	6538.253	4793.846	4392.818	4413.57	4371	2911.954	4894.179	4387.308	3434.565	2844.331	3652.368	5263.566	4528.585	3507.843	2432.092	4068.152	4098.849	4532.796	2683.074	2288.1	3797.239	3959.189	3330.671	2121.06	5414.917	4794.123	8797.269	4501.435	10094.396	4337.641	5564.38	6316.932	7003.756	7828.584	4895.311	3689.325	3860.693	5958.151	7444.518	4035.526	4354.752	4466.327	5021.193	4484.612	6817.726	5318.488	3386.236	2070.67	5550.8	6354.733	4433.788	6323.978	6079.238	4694.786	5803.729	9165.754	5239.203	5690.654	4232.665	4500.375	4544.695	6453.287	4642.635	3590.501	5817.347	8361.157	8148.91	5523.646	6050.818	4383.319	11238.984	4935.93	4186.157	4440.58	4657.568	4629.904	2891.011	8539.254	2369.268	2366.168	2906.714	3156.927	5190.79	2613.404	4224.198	6299.524	5410.508	7765.825	5697.487	4986.001	3828.066	6663.024	9927.951	2430.288	2834.972	3896.279	4561.125	3437.415	2915.834	2958.749	6511.486	7577.247	3029.562	6941.148	7721.724	6785.754	3417.815	2879.862	4500.146	4498.886	3187.027	2737.573	2869.584	5154.198	6513.795	8539.44	11354.675	4990.659	2530.906	8314.204	4517.722	4703.164	2898.661	2819.18	8001.341
hsa-mir-141	3558.626	3633.572	2729.321	3853.309	6195.023	2791.469	4589.692	5146.68	5947.362	12013.73	4974.936	4769.89	16.771	4543.196	2124.98	2993.234	24308.753	10152.104	4110.775	6602.17	1895.57	5538.725	14378.638	4625.242	5221.011	12714.25	3900.363	3100.038	2868.194	4663.253	9847.374	4145.314	10116.837	12456.901	8954.722	12425.207	6162.458	5221.898	7943.804	4640.577	2236.826	5394.732	2851.443	18879.906	4050.372	2025.307	5344.034	7280.312	8506.45	3896.475	1629.018	5070.513	9519.389	2411.664	8127.712	2929.641	16890.598	3592.904	965.479	6160.388	4534.372	17257.789	9421.918	6404.219	5129.732	8605.598	9415.735	5230.459	3800.662	2673.792	36.775	4981.938	20465.217	8782.101	3264.167	5638.209	8786.185	6776.699	8144.219	2784.408	4383.893	43454.823	5995.548	4155.948	1644.361	5502.491	1821.097	9502.199	2174.416	2213.537	2149.817	2660.155	12942.524	11676.22	3713.503	7575.78	3542.855	3025.784	3531.065	5604.3	5575.123	4838.229	3330.859	3844.991	5815.643	11073.073	1816.85	1323.634	5745.725	9245.968	9996.331	11301.242	5673.742	1758.142	8204.06	3210.113	4058.145	5077.108	5821.886	11639.847	2033.935	6223.868	5907.292	2153.659	4253.181	4022.624	2960.05	1451.339	1801.024	3773.579	7132.4	3154.526	7086.213	2733.914	7102.796	479.444	5321.475	9058.347	18370.131	5773.322	6570.813	6767.43	7374.782	1430.024	2013.398	1267.841	691.077	4499.752	5663.871	589.364	3007.903	6622.509	4298.344	11491.014	13171.736	5977.775	8096.647	8368.322	1972.219	10406.418	2895.202	2502.946	2086.88	10686.955	5943.002	5350.188	4195.553	45513.795	6486.095	5104.367	10889.055	1123.405	2164.681	1653.055	1848.285	5529.211	6804.84	2216.519	2998.727	1491.443	9726.693	9585.358	2422.412
hsa-mir-142	7444.261	8098.554	2780.733	9198.399	8994.628	4860.57	3474.44	14099.818	5037.564	5923.655	4882.629	4301.003	9390.198	15677.523	6635.919	4394.017	4185.927	5004.558	5244.355	4764.989	4990.031	6549.559	1318.22	9328.823	13335.114	7793.11	4892.752	4371.415	3260.286	295.279	1599.881	2161.764	1671.038	1260.54	271.975	3610.106	736.774	12042.286	3669.001	4610.142	5211.644	4949.831	1886.026	2500.951	13568.5	7348.874	11724.88	8134.122	12286.316	3982.522	16404.514	9122.651	3070.07	8111.695	8583.519	6508.151	1222.069	3611.995	6323.828	6140.679	8706.068	5550.906	2680.337	8451.768	8244.357	4358.626	5165.251	1654.527	18980.938	5365.732	96047.681	6476.519	4534.155	20465.664	5536.243	6864.597	5363.688	20671.735	7597.159	4809.591	3209.414	3342.415	20820.456	6154.15	7717.561	6006.333	6319.44	15201.113	5020.53	7505.332	7016.834	5920.642	12525.023	6122.307	8250.68	6906.382	7813.373	8096.519	32668.481	11462.951	6381.348	12683.373	6126.836	10869.348	13247.663	4583.846	5438.223	6881.607	6267.15	4035.586	8065.729	2830.99	5622.216	12421.894	4983.278	21795.796	5664.172	14113.968	8635.992	5472.132	14640.92	7535.541	5762.835	10871.157	8014.991	2372.774	7907.402	2090.824	5463.601	15069.512	7499.16	6602.628	4601.293	7776.255	4083.228	15221.227	2814.33	9487.743	3305.069	7509.497	8814.161	6416.12	12568.305	19499.745	2096.672	20230.119	11821.398	13365.731	6780.39	8735.882	4494.575	2347.138	6989.459	2779.295	9243.219	14883.027	6300.285	3881.985	51288.572	6164.923	5716.765	4705.485	6603.562	7776.607	4725.486	3629.332	7024.669	1891.71	2166.445	7021.309	8601.676	14936.657	2841.737	5903.349	4936.283	6375.006	4821.854	4788.006	3547.798	5395.015	3775.931	4268.919	74133.598
hsa-mir-143	307495.4	264180.521	183223.28	362167.7	294041.793	330776.381	283336.143	204959.184	161261.375	219856.654	150738.622	368340.077	266795.386	249516.151	2523612.653	598924.211	126099.878	259164.086	499381.555	219055.691	320492.567	382491.936	52350.754	283512.358	663831.484	214605.08	364395.32	333255.285	266263.382	70972.823	121601.742	156853.641	77071.112	56833.137	24697.66	196102.324	73667.748	142237.627	278162.42	325085.466	250949.253	1220849.35	197546.923	107627.288	474482.443	724808.964	333202.999	177451.252	255995.961	256625.075	277732.416	187221.574	237580.407	445705.336	281961.466	2800368.215	189278.897	239912.597	356929.84	208438.152	185672.406	340153.857	358223.225	168449.848	201854.441	389591.53	231313.788	382201.275	279523.159	197949.339	166135.678	386412.13	196734.94	142007.839	212962.043	230244.886	259126.05	383098.988	438044.756	333334.612	227476.652	198486.771	338864.259	362303.827	326322.407	324169.621	506829.712	690921.921	401820.409	363896.127	373865.989	337546.696	190901.076	676337.748	401323.021	525043.058	478582.306	306227.116	257137.734	1423900.502	164782.504	174535.712	203163.156	281281.558	190518.297	334855.035	3486285.441	885181.404	414449.206	228900.418	351947.483	140174.183	620626.599	342841.023	472510.087	319448.54	329760.184	598499.324	280776.83	513236.539	433256.462	420723.736	473203.874	262718.856	319005.697	481536.433	287357.784	377151.602	333593.737	219128.445	347215.78	412150.946	302129.532	428965.275	487477.402	624215.505	558029.026	321645.011	464015.438	398689.474	182453.245	212623.082	262008.929	247016.806	311678.559	219388.568	205929.021	218933.386	177697.23	256358.355	390145.862	411754.38	524812.132	347779.742	169235.595	238199.942	350495.511	244042.815	297977.049	286903.007	619380.81	228919.831	332924.788	233948.413	215886.828	525092.114	353742.109	285033.787	391760.943	560248.35	416665.788	478008.772	273859.844	238191.656	430112.213	425543.655	357859.071	721370.365	604043.512	574826.897	219695.613	462274.702	185822.239
hsa-mir-144	42.653	39.689	65.942	266.979	103.37	47.42	84.66	127.008	77.408	21.365	42.541	65.269	250.163	155.399	73.371	270.812	142.378	165.909	394.04	145.488	333.447	286.712	293.194	99.301	277.607	84.328	262.552	201.442	412.807	52.214	251.158	626.802	383.177	403.305	66.29	68.465	104.612	109.653	784.23	832.965	678.952	457.057	116.094	54.566	116.475	266.501	79.987	293.691	39.213	227.294	57.656	56.26	336.064	191.139	22.234	207.638	135.998	161.636	116.856	72.269	53.661	175.126	47.763	60.63	79.862	148.531	139.058	96.75	65.837	116.953	4348.212	49.354	50.597	107.324	68.349	63.512	43.447	183.959	176.99	75.396	90.942	207.184	39.962	121.61	160.875	42.429	91.962	77.482	48.189	126.244	3194.043	105.148	162.871	339.779	35.237	353.322	173.751	103.934	102.961	160.234	62.874	435.581	53.691	258.432	63.604	74.185	334.445	165.8	148.5	140.4	14.372	434.913	112.421	443.329	848.252	263.982	85.051	59.84	485.529	160.335	211.158	25.056	80.86	112.964	408.805	761.687	37.822	191.329	175.877	1338.543	22.017	15.152	23.172	2031.728	39.792	499.106	59.815	198.676	313.145	243.981	310.884	299.899	206.38	115.118	47.911	367.281	246.915	166.905	266.177	917.286	877.045	1624.051	47.126	116.587	144.766	129.039	479.935	70.651	1256.845	36.184	231.254	488.652	164.789	79.663	31.677	87.758	37.016	493.828	37.686	84.414	294.135	738.418	222.788	367.997	114.752	112.15	36.736	314.323	239.874	1286.647	44.475	164.975	373.322
hsa-mir-145	14590.785	12698.342	9881.215	18411.936	11499.916	13206.523	10079.035	8985.364	9968.567	13806.119	6917.392	11328.301	5627.97	9188.512	98474.44	27333.878	7220.171	13858.861	14373.91	8215.279	10630.606	13344.099	1048.689	10018.416	30602.792	9838.666	18553.975	16831.879	9727.594	1690.204	6705.216	10622.673	4847.118	4130.926	1169.677	6848.707	4898.775	13719.97	8609.438	11558.993	10151.897	41474.285	6550.171	8926.121	5103.567	6349.371	19746.213	21583.182	6712.449	9432.716	13994.701	7757.458	14005.062	7399.8	5098.77	43528.261	7286.441	8566.716	13980.72	12332.821	9053.016	12999.667	16045.497	9475.542	10052.952	10651.233	9621.809	10977.279	19797.192	7437.282	21930.19	9320.414	11277.316	10290.195	9904.344	7112.596	11850.447	10215.856	7862.644	19901.15	5559.15	6442.161	6518.587	12399.787	5862.091	8255.062	6652.315	26752.57	9514.912	10330.154	7535.929	6032.081	18539.787	11393.071	16173.946	39917.297	5216.312	10218.56	4523.901	34891.336	7501.943	11510.114	8576.354	11405.757	9399.605	6526.97	60239.535	20740.617	7392.624	11144.362	13261.905	5661.981	19658.434	6346.439	8839.847	7076.282	8439.926	12200.123	5945.946	8427.562	20364.912	10647.475	11229.487	6331.482	7351.438	7456.158	10260.977	10159.372	3598.622	9206.438	8643.472	10018.531	8219.433	6987.927	10266.226	7093.358	9252.007	7198.482	8771.266	15714.543	9730.565	6808.559	8992.886	9027.825	10973.874	5260.617	10027.009	13483.677	11365.332	12406.521	9254.869	4192.221	9025.778	8396.556	12519.297	25036.693	6888.885	10212.886	6643.889	14944.172	15957.849	6035.011	4688.809	7869.926	10920.276	10118.352	8463.023	6056.193	7008.608	21721.074	8818.992	6948.701	14670.851	6869.525	14576.764	17710.298	10906.034	7776.784	10783.27	11386.607	9478.744	8815.23	12432.446
hsa-mir-1468	33.454	56.796	35.765	13.074	41.635	26.871	19.19	56.869	85.451	13.494	118.795	66.769	48.915	28.86	37.15	11.443	142.378	5.458	13.325	50.974	23.359	40.959	43.287	61.788	24.898	48.187	11.374	14.475	56.225	353.795	73.734	135.492	464.1	54.843	120.189	16.836	71.88	42.643	13.89	19.222	57.135	12.156	20.367	259.189	66.44	55.087	15.092	47.09	37.813	17.859	57.656	69.791	23.783	66.313	56.597	34.606	28.732	44.545	22.69	60.224	36.083	5.903	28.798	22.52	67.762	35.852	16.754	19.567	38.991	89.395	42.029	27.005	19.549	44.41	67.313	73.341	27.872	33.288	26.817	35.068	24.873	19.459	42.313	40.165	106.826	38.451	97.142	25.382	20.653	30.374	91.546	74.592	211.044	50.338	26.795	42.278	97.971	62.636	83.349	18.668	106.648	60.888	27.352	85.782	66.37	42.949	48.482	14.738	21.214	25.2	27.147	111.974	17.566	29.266	22.534	157.053	88.365	34.047	73.186	60.624	29.354	31.32	19.079	85.412	59.408	48.384	67.681	18.96	235.264	76.977	26.073	44.51	77.24	162.712	33.67	24.199	36.497	70.498	24.498	9.436	66.076	39.415	20.858	21.745	45.629	37.69	16.319	36.719	35.558	32.12	49.291	21.051	39.685	39.865	109.07	20.211	23.77	19.095	38.535	10.177	58.137	71.822	32.691	16.691	25.991	51.444	48.65	167.201	82.502	28.85	44.474	94.669	126.405	231.648	30.3	17.523	42.989	37.936	34.355	24.932	14.454	24.089	15.323
hsa-mir-146a	843.031	630.23	232.473	838.783	541.257	1133.343	1064.456	727.928	603.181	8259.158	633.305	465.136	572.999	506.156	407.721	680.844	142.378	949.611	535.857	267.612	812.304	470.641	40.401	2405.303	622.438	457.78	363.023	991.53	446.838	93.625	158.99	120.844	123.115	42.187	29.118	351.302	59.686	545.826	149.581	229.065	962.721	261.349	465.396	90.944	227.208	496.277	1402.035	790.611	892.099	3618.851	950.831	405.214	128.221	862.075	705.439	356.878	222.194	1075.453	758.996	649.326	1072.299	891.372	222.659	374.171	559.035	351.353	634.976	211.98	332.382	300.449	1819.49	1317.653	309.33	507.016	315.854	717.535	428.734	495.813	284.257	331.394	535.55	357.135	513.635	406.111	351.636	246.618	766.778	263.171	366.828	794.481	209.248	318.14	403.737	161.5	474.236	131.866	228.598	686.239	623.648	347.692	539.605	1193.164	791.18	428.91	1096.482	260.298	353.345	725.834	362.876	275.999	464.686	113.597	357.171	418.399	236.609	921.153	756.622	587.05	1316.462	289.56	881.561	675.255	375.225	380.22	507.482	146.565	481.73	284.407	382.589	433.637	574.184	348.504	473.37	819.652	566.265	803.107	139.905	555.011	367.467	549.969	784.251	519.253	518.145	1110.251	347.924	1426.622	815.244	1069.303	856.438	466.86	454.387	202.085	446.452	1952.652	319.279	624.985	596.524	524.154	1401.106	742.912	436.67	352.223	571.09	1024.995	512.51	219.898	380.741	414.115	243.432	313.079	567.044	607.985	454.267	520.474	1084.345	1151.87	150.072	476.001	481.588	710.55	497.009	435.068	3155.125
hsa-mir-146b	5130.945	3790.274	5314.464	3333.112	4337.234	2268.266	3326.567	5895.46	2281.028	3819.79	3592.741	2633.267	5702.04	4514.336	3388.08	3508.158	2192.629	5587.423	3868.069	2563.558	6324.989	5221.1	897.474	3175.441	3836.708	7681.075	7592.201	3998.687	4316.717	388.905	572.977	936.846	869.41	737.424	282.507	4906.444	503.163	5154.888	1816.337	3110.804	8167.416	3386.599	2610.088	2946.575	5417.721	8100.237	7102.238	4723.838	9150.666	5159.582	5633.646	5686.523	2614.058	5690.279	6699.652	3728.831	842.806	1898.907	5035.011	1568.019	4911.851	5148.51	3606.093	5217.611	3707.54	2743.22	2683.987	1728.992	3201.096	4408.598	1938.571	5188.665	4559.453	9472.309	2876.858	5943.672	2914.246	4460.568	1128.981	3887.299	4450.74	1092.008	4303.02	3685.126	8506.04	2440.984	5759.9	2010.517	2840.214	4559.012	3122.617	6170.481	2722.931	5333.685	3240.369	2052.487	2894.323	2660.983	3838.967	1139.528	6383.735	3486.991	5342.747	5410.785	9875.254	4235.047	3167.777	5401.385	4388.01	3981.586	3153.794	1463.774	1402.919	4691.27	5702.763	2835.859	5621.094	5719.871	3376.391	1854.622	4202.328	1998.203	3864.906	2600.004	6067.63	3109.845	3120.627	4676.345	5326.554	3642.718	2985.642	2171.518	2698.984	5468.699	8579.676	5273.889	3349.62	2863.499	3300.808	3657.021	4643.764	4918.34	6223.227	5691.956	2815.335	7940.644	15246.276	6730.711	6782.422	5882.434	7499.079	2963.92	1975.551	2436.303	6478.781	7812.306	3090.151	3352.103	3717.179	10043.443	2933.96	6884.084	11273.69	4636.375	7880.143	4551.291	4876.656	991.544	1886.345	2612.555	3505.36	5612.817	1858.15	4100.749	5707.315	5896.034	3071.01	3223.617	5719.544	16067.511	4715.467	3821.441	4631.696
hsa-mir-148a	121639.777	117714.044	59676.236	80395.853	505935.997	162056.922	137914.255	139942.304	118564.222	101639.933	305516.27	79824.759	203488.764	290883.323	63766.121	61186.31	1631951.679	89575.592	68777.192	168895.34	114848.971	78865.966	127738.61	107771.901	148814.992	361691.152	72892.713	76245.252	73216.253	117842.569	146450.213	119875.386	40674.153	73963.485	11476.838	115559.867	205557.307	498721.707	75360.897	181373.351	164284.373	100274.195	96723.987	2819226.52	249913.193	156519.892	97738.017	643816.261	292280.716	100426.767	169197.995	257782.89	77354.598	86436.649	325424.815	160656.592	492085.673	143870.176	96898.428	137275.045	138449.618	68974.091	71323.932	126036.837	72945.616	276188.372	246913.417	70038.582	132256.774	158825.133	52460.488	104770.617	79279.288	432784.959	161370.185	240729.671	136906.432	136963.604	300577.2	157722.309	154167.694	266639.977	511582.127	93562.94	88052.174	154549.713	140549.579	378603.769	78833.632	137467.082	74437.798	152883.416	1154935.569	69585.404	147160.009	661389.994	101540.359	113371.232	223013.584	328079.053	316225.301	312682.837	85682.5	105239.39	190707.727	696432.253	120795.437	65872.208	197002.661	80508.925	159066.21	57131.802	73944.846	101033.573	67489.944	93460.839	184088.903	241712.027	224491.157	280582.379	134757.632	205102.023	69223.066	116465.658	295504.455	61456.994	198497.883	64753.5	82639.252	456432.848	111789.797	117130.35	130619.355	78322.908	45512.379	219348.106	171370.971	694970.153	61962.314	130776.596	501521.114	272128.137	110311.056	152122.312	143307.161	103780.1	70187.643	271322.556	90255.185	82800.025	160883.455	49458.31	301577.296	477440.078	1285255.689	68695.437	86335.183	90488.633	139332.949	61498.843	109654.659	89911.895	156337.222	70091.129	53934.548	95636.63	329399.018	516705.031	117952.609	89864.427	572685.634	199617.895	163950.913	89949.647	116813.319	74119.234	210481.841	52383.553	88976.552	51341.241	95651.371	100802.107	106587.507
hsa-mir-148b	476.714	386.623	485.064	454.828	459.422	347.748	575.687	466.329	431.274	371.072	442.27	476.389	816.174	344.097	495.953	371.889	550.53	544.662	385.474	458.764	493.455	438.956	2869.033	654.286	453.135	572.226	376.293	522.302	509.72	1302.65	3059.975	870.321	1637.147	975.357	2896.314	968.606	2510.678	389.876	847.268	488.566	427.559	510.543	537.701	618.417	497.889	557.319	363.714	382.913	619.007	366.918	312.709	342.544	254.374	455.417	508.361	460.697	1913.553	535.817	529.822	666.846	439.467	461.428	482.545	382.833	321.062	464.032	633.3	454.397	428.262	332.712	353.741	260.737	597.961	419.121	532.291	358.39	391.845	443.254	600.693	389.256	625.715	560.885	833.335	489.788	514.419	547.597	536.874	786.84	389.448	345.509	397.369	353.189	488.614	385.921	398.99	440.897	725.569	373.749	617.275	700.829	289.699	446.119	505.504	436.511	436.934	493.265	401.005	279.096	615.215	593.998	411.989	450.329	443.828	391.301	703.389	527.964	389.909	793.395	437.333	525.676	349.405	428.455	437.914	356.341	358.459	380.561	356.321	270.618	372.311	375.476	681.952	372.179	412.682	452.462	332.107	429.534	612.34	496.049	467.588	301.944	379.127	428.427	573.033	418.263	512.19	426.623	373.92	469.559	499.843	398.138	469.684	516.791	465.054	564.885	456.113	411.992	537.664	413.404	412.032	550.682	325.565	478.157	422.313	577.366	535.252	447.866	352.185	2039.469	444.086	295.983	591.302	357.638	391.855	471.359	424.197	658.879	315.777	316.129	441.711	282.261	489.226	389.079	651.92
