	TCGA.2G.AAEW.01A	TCGA.2G.AAEX.01A	TCGA.2G.AAF1.01A	TCGA.2G.AAF4.01A	TCGA.2G.AAF6.01A	TCGA.2G.AAF8.01A	TCGA.2G.AAFE.01A	TCGA.2G.AAFG.01A	TCGA.2G.AAFG.05A	TCGA.2G.AAFH.01A	TCGA.2G.AAFI.01A	TCGA.2G.AAFJ.01A	TCGA.2G.AAFL.01A	TCGA.2G.AAFM.01A	TCGA.2G.AAFN.01A	TCGA.2G.AAFO.01A	TCGA.2G.AAFV.01A	TCGA.2G.AAFY.01A	TCGA.2G.AAFZ.01A	TCGA.2G.AAG0.01A	TCGA.2G.AAG3.01A	TCGA.2G.AAG5.01A	TCGA.2G.AAG6.01A	TCGA.2G.AAG7.01A	TCGA.2G.AAG8.01A	TCGA.2G.AAG9.01A	TCGA.2G.AAGA.01A	TCGA.2G.AAGC.01A	TCGA.2G.AAGE.01A	TCGA.2G.AAGF.01A	TCGA.2G.AAGG.01A	TCGA.2G.AAGI.01A	TCGA.2G.AAGI.05A	TCGA.2G.AAGJ.01A	TCGA.2G.AAGK.01A	TCGA.2G.AAGM.01A	TCGA.2G.AAGN.01A	TCGA.2G.AAGO.01A	TCGA.2G.AAGP.01A	TCGA.2G.AAGS.01A	TCGA.2G.AAGT.01A	TCGA.2G.AAGV.01A	TCGA.2G.AAGW.01A	TCGA.2G.AAGX.01A	TCGA.2G.AAGY.01A	TCGA.2G.AAGY.05A	TCGA.2G.AAGZ.01A	TCGA.2G.AAH0.01A	TCGA.2G.AAH2.01A	TCGA.2G.AAH3.01A	TCGA.2G.AAH4.01A	TCGA.2G.AAH8.01A	TCGA.2G.AAHA.01A	TCGA.2G.AAHC.01A	TCGA.2G.AAHG.01A	TCGA.2G.AAHL.01A	TCGA.2G.AAHN.01A	TCGA.2G.AAHP.01A	TCGA.2G.AAHP.05A	TCGA.2G.AAHT.01A	TCGA.2G.AAKD.01A	TCGA.2G.AAKG.01A	TCGA.2G.AAKG.05A	TCGA.2G.AAKH.01A	TCGA.2G.AAKL.01A	TCGA.2G.AAKM.01A	TCGA.2G.AAKO.01A	TCGA.2G.AAKO.05A	TCGA.2G.AAL5.01A	TCGA.2G.AAL7.01A	TCGA.2G.AALF.01A	TCGA.2G.AALG.01A	TCGA.2G.AALN.01A	TCGA.2G.AALO.01A	TCGA.2G.AALP.01A	TCGA.2G.AALQ.01A	TCGA.2G.AALR.01A	TCGA.2G.AALS.01A	TCGA.2G.AALT.01A	TCGA.2G.AALW.01A	TCGA.2G.AALX.01A	TCGA.2G.AALY.01A	TCGA.2G.AALZ.01A	TCGA.2G.AAM2.01A	TCGA.2G.AAM3.01A	TCGA.2G.AAM4.01A	TCGA.2X.A9D5.01A	TCGA.2X.A9D6.01A	TCGA.4K.AA1G.01A	TCGA.4K.AA1H.01A	TCGA.4K.AA1I.01A	TCGA.4K.AAAL.01A	TCGA.S6.A8JW.01A	TCGA.S6.A8JX.01A	TCGA.S6.A8JY.01A	TCGA.SB.A6J6.01A	TCGA.SB.A76C.01A	TCGA.SN.A6IS.01A	TCGA.SN.A84W.01A	TCGA.SN.A84X.01A	TCGA.SN.A84Y.01A	TCGA.SO.A8JP.01A	TCGA.VF.A8A8.01A	TCGA.VF.A8A9.01A	TCGA.VF.A8AA.01A	TCGA.VF.A8AB.01A	TCGA.VF.A8AC.01A	TCGA.VF.A8AD.01A	TCGA.VF.A8AE.01A	TCGA.W4.A7U2.01A	TCGA.W4.A7U3.01A	TCGA.W4.A7U4.01A	TCGA.WZ.A7V3.01A	TCGA.WZ.A7V4.01A	TCGA.WZ.A7V5.01A	TCGA.WZ.A8D5.01A	TCGA.X3.A8G4.01A	TCGA.XE.A8H1.01A	TCGA.XE.A8H4.01A	TCGA.XE.A8H5.01A	TCGA.XE.A9SE.01A	TCGA.XE.AANI.01A	TCGA.XE.AANJ.01A	TCGA.XE.AANR.01A	TCGA.XE.AANV.01A	TCGA.XE.AAO3.01A	TCGA.XE.AAO4.01A	TCGA.XE.AAO6.01A	TCGA.XE.AAOB.01A	TCGA.XE.AAOC.01A	TCGA.XE.AAOD.01A	TCGA.XE.AAOF.01A	TCGA.XE.AAOJ.01A	TCGA.XE.AAOL.01A	TCGA.XY.A89B.01A	TCGA.XY.A8S2.01A	TCGA.XY.A8S3.01B	TCGA.XY.A9T9.01A	TCGA.YU.A90P.01A	TCGA.YU.A90Q.01A	TCGA.YU.A90S.01A	TCGA.YU.A90W.01A	TCGA.YU.A90Y.01A	TCGA.YU.A912.01A	TCGA.YU.A94D.01A	TCGA.YU.A94I.01A	TCGA.YU.AA4L.01A	TCGA.YU.AA61.01A	TCGA.ZM.AA05.01A	TCGA.ZM.AA06.01A	TCGA.ZM.AA0B.01A	TCGA.ZM.AA0D.01A	TCGA.ZM.AA0E.01A	TCGA.ZM.AA0F.01A	TCGA.ZM.AA0H.01A	TCGA.ZM.AA0N.01A
hsa-mir-141	1430.321	5238.301	1296.265	21668.48	29314.055	17621.176	6697.811	54427.782	14644.343	13243.153	22145.917	5758.54	18572.878	24923.83	34017.656	14340.648	13484.957	19329.063	11210.016	22263.96	3221.762	5834.068	2024.129	21523.466	25860.496	6922.177	51088.247	13776.109	25994.64	19777.433	14866.628	4588.238	8399.056	28457.16	32300.457	3011.913	49417.086	24148.598	6944.438	5585.858	29657.024	4813.116	73346.178	4015.124	2266.95	46842.499	5808.162	4579.513	3020.773	1814.254	3588.575	4176.904	1898.892	3831.426	18762.484	3240.905	2282.924	7248.008	4158.016	7537.363	18742.426	13050.635	194.031	25600.281	47991.471	25305.258	1466.777	666.529	3314.927	48462.874	15918.613	10952.239	10144.9	24233.816	16059.434	1678.159	3026.482	6590.714	7248.229	6999.081	7490.106	7638.733	373.337	39918.166	6878.435	35659.659	4961.551	3595.56	4974.959	1096.055	6216.068	10240.695	1580.984	22360.417	67238.574	7592.249	20309.426	3217.457	5330.271	6053.052	31822.575	22178.402	26425.695	3225.949	4747.157	1711.16	1281.24	27948.365	2184.244	33616.913	3419.457	60314.858	24655.894	1808.713	7667.168	5464.419	13308.177	81064.701	5770.009	7323.275	6155.958	1955.78	48327.773	568.249	5412.713	8727.303	2884.421	52460.866	3193.954	4133.457	3285.256	1091.853	1301.971	10346.872	836.443	58140.725	31409.385	4795.986	29617.984	3079.599	606.997	3923.494	8456.403	7153.382	100.934	34678.895	16594.505	3580.645	1196.084	5885.028	5855.503	892.049	1311.797	1424.571	3556.644	2802.914
hsa-mir-142	46390.34	27862.477	49695.297	55725.507	56589.828	34000.067	38839.7	71222.605	91627.034	33326.739	11112.69	1590.942	30727.96	44986.505	14237.079	27137.666	11589.185	33999.274	3319.584	32469.173	6807.064	6727.29	6849.21	6435.686	19702.437	32062.23	7311.81	13291.25	7972.538	7983.091	17625.426	5704.27	58024.947	31424.915	21530.053	2492.128	22767.241	15242.965	22805.911	3875.008	12626.609	3523.314	4756.915	1546.017	6289.773	36737.392	46438.016	29969.812	11254.784	25530.246	5689.076	15469.813	57333.04	76098.297	11234.281	34100.053	66876.653	12661.351	54821.719	57196.271	14599.065	15501.769	48841.236	20883.971	25032.335	10627.34	89213.713	87397.805	2183.635	19546.011	16976.653	11987.353	8575.713	12121.749	7733.042	10436.43	2017.655	42546.736	11290.993	8491.415	7487.695	8105.945	8172.724	12755.191	4877.361	6960.355	37521.13	51906.048	30745.088	80968.101	87360.959	15726.404	26656.175	5050.266	21343.144	47559.039	29376.441	16694.681	2218.992	12906.542	9956.244	10932.267	5443.925	51990.84	55380.578	78639.831	61217.515	42085.589	92774.291	33600.505	9600.685	15648.764	29626.816	55369.223	62678.562	49783.059	14670.017	17737.936	59175.607	26414.966	22532.769	4396.476	35943.012	12874.871	33998.878	22286.606	58737.858	53051.881	24700.697	3143.037	45643.76	25054.425	4517.319	8895.849	84116.275	13510.442	5606.995	39751.611	27701.666	9640.855	121699.099	16055.365	14147.833	15968.963	1646.487	3617.834	6666.996	12786.639	56125.962	21986.835	37601.098	101625.055	42779.801	86943.37	59025.202	52074.01
hsa-mir-143	357123.543	446038.937	244534.969	149309.528	161762.248	282784.336	200537.35	121500.462	479549.802	189764.212	89240.099	99702.78	506100.976	307481.862	170846.97	356035.873	277563.214	397120.626	180744.244	358101.33	456498.676	1025150.386	3036979.418	94604.694	348733.241	116659.882	394918.43	571822.661	131483.882	272838.352	548277.101	379892.197	230130.894	227318.287	88819.535	99302.203	311792.225	225976.319	606109.131	76399.906	372336.064	4974651.526	52280.204	471331.036	290954.371	277860.648	771755.843	188008.838	288544.194	297996.365	92251.815	118318.125	416516.944	171158.444	134388.352	227348.101	270533.304	218732.967	380653.422	288483.827	252875.381	152639.156	285335.695	261409.842	467202.838	253681.088	435146.9	222027.42	79584.692	363753.745	146238.916	491737.041	227701.394	866761.748	91768.864	158839.57	90671.321	205152.906	467368.924	639518.657	164752.917	107330.298	463950.432	89327.773	2089551.7	76756.267	200756.289	396321.774	300028.149	350099.145	147654.183	234937.648	397922.072	254626.937	142747.43	200061.904	200807.418	140111.704	255992.757	293962.076	68865.031	262087.095	234762.439	309749.484	278891.11	105104.47	284558.862	215701.15	295886.77	170709.8	278550.391	138576.405	98982.162	112458.313	214293.404	122068.25	150564.854	583363.337	203824.856	115520.697	83809.795	79647.272	77960.769	158355.658	520212.04	241770.44	339633.563	57382.505	105607.793	117937.769	271323.549	176582.357	123864.142	96474.239	234557.159	100171.801	146407.112	127880.633	91146.738	417851.942	277657.567	267987.815	307328.435	92361.63	262186.992	234668.466	279743.405	457681.008	141231.275	120463.195	124514.302	248244.673	167312.149	264514.572	256533.907	286387.049
hsa-mir-144	125.06	1293.923	308.158	1526.333	372.135	662.552	167.234	271.566	466.826	502.137	11568.737	554.566	8984.191	1854.183	2895.163	3305.338	825.664	7525.342	1058.505	1921.117	569.299	613.221	351.846	644.992	3269.775	149.858	745.087	12024.184	9400.99	11792.725	1039.043	907.232	431.998	2551.714	1679.459	690.117	7047.003	3406.134	850.078	3941.78	458.28	1496.774	12922.91	806.514	1254.664	395.718	1102.988	1986.054	1224.398	240.876	1409.631	1287.8	83.828	241.009	499.759	137.693	128.615	650.311	361.3	82.657	2756.573	10887.175	294.078	3004.347	4299.048	3343.94	98.009	1277.004	5474.626	4422.322	2797.138	399.229	6081.093	346.474	696.27	600.537	898.21	1339.905	1014.4	1081.858	183.756	1077.797	1690.319	2693.385	808.252	1459.287	204.966	288.713	172.714	298.775	572.039	2123.329	2265.567	153.794	160.828	106.301	325.774	4109.146	693.893	1066.064	1196.635	3743.481	630.244	153.869	277.649	88.255	249.3	926.286	734.004	294.077	273.698	544.669	1247.586	159.044	473.371	109.257	1529.347	3246.298	174.153	564.686	1569.048	247.754	233.432	383.364	116.067	697.037	212.575	1365.088	1947.593	418.607	548.775	347.408	656.319	428.983	229.58	431.994	1477.9	598.309	355.402	189.909	361.823	1228.482	2674.138	341.147	319.807	3344.619	430.228	328.11	58.427	2427.772	245.614	77.034	61.478	263.366	223.458	385.379
hsa-mir-145	4397.302	8243.542	3839.707	2399.958	3592.367	7767.647	9576.264	4170.041	15521.289	7952.714	2375.245	6165.977	17466.445	7300.411	7904.543	14918.688	9830.913	9026.528	6867.277	7391.123	12737.792	57195.877	101182.877	3818.485	9549.082	1629.31	15916.363	14839.189	2875.472	8463.338	31339.264	15520.773	7155.919	7334.637	1923.222	2645.224	9667.369	6890.205	26966.821	4421.056	2931.756	161505.653	2038.314	14816.229	19340.367	7521.022	26140.989	5563.742	6361.963	10374.305	3843.075	1302.664	5425.144	4738.609	4522.163	6452.223	6184.542	3545.178	8467.085	6474.801	5541.485	4983.943	8321.099	6268.952	11623.74	7962.258	5662.714	5019.348	2796.733	11701.978	2798.916	32791.628	7172.384	84371.604	3096.959	6218.822	2946.838	9500.801	20237.461	32619.853	5874.886	4744.874	25485.432	1394.223	86942.167	1629.537	8012.816	11051.228	6094.623	8361.615	3018.479	10678.864	5127.279	7758.29	5620.328	8929.279	3548.149	6414.538	18502.021	8554.926	1988.816	10281.594	8578.441	10779.339	14990.646	5287.436	13210.87	7163.449	10882.354	3733.389	22138.693	3448.497	3188.442	9026.017	9665.844	12642.11	4747.287	15518.018	3950.973	1413.48	3446.695	6751.978	3935.259	9348.465	26571.842	3610.076	10116.854	4374.209	6658.256	9216.711	21348.248	4510.025	4280.954	2068.862	8541.027	3763.869	5533.367	4521.145	2226.87	6879.482	10493.578	10062.201	16305.486	1495.908	11511.149	6312.434	4987.571	8405.406	4095.295	4634.94	5565.542	10704.591	9078.835	14532.35	6831.631	8621.876
hsa-mir-1468	5.991	23.652	9.999	14.345	16.915	28.89	12.669	24.139	15.825	22.738	17.275	72.218	27.751	22.57	12.139	59.118	55.133	23.294	30.014	14.38	55.437	29.028	50.38	15.331	25.63	23.382	29.185	37.659	13.263	32.34	43.613	31.15	19.313	12.327	14.339	34.472	5.871	7.307	36.752	31.902	57.092	57.568	7.644	39.255	46.611	7.152	81.829	18.811	29.996	14.094	35.444	4.054	12.756	18.539	20.589	13.655	27.077	33.501	12.247	17.969	20.783	21.78	42.444	12.864	5.219	27.779	15.916	56.054	60.89	8.179	254.285	57.29	39.918	67.082	10.916	31.152	33.185	34.795	18.081	30.794	70.416	24.252	19.094	34.124	43.257	37.588	49.192	20.35	5.956	53.207	15.273	34.418	13.102	16.626	7.423	7.087	6.43	13.584	48.377	48.25	10.644	19.315	12.249	16.979	43.881	23.535	45.978	18.188	34.424	15.146	56.156	9.669	8.965	39.487	16.735	14.251	21.032	23.443	13.396	12.353	37.072	36.38	5.514	34.439	34.945	10.126	23.212	15.691	26.099	34.819	43.636	10.268	52.214	5.982	30.504	26.264	17.219	13.742	10.193	11.121	29.337	13.568	14.92	7.137	166.761	22.013	61.461	34.355	10.745	21.495	28.996	30.043	16.907	46.555	13.652	33.057
hsa-mir-146a	6062.765	1165.922	3329.746	2008.333	10375.366	1671.787	5228.178	6754.943	7855.592	3247.784	665.068	90.541	1637.328	2458.355	894.243	1468.747	919.323	1489.539	330.158	2044.781	464.821	296.935	526.956	307.713	1072.51	3065.186	600.877	534.286	437.687	257.102	1973.18	338.752	2251.472	2601.023	2374.902	331.202	1005.876	859.753	1323.853	103.868	1161.901	322.793	91.724	77.717	412.372	1163.315	2314.229	2869.553	420.631	2321.63	303.309	1199.965	9374.183	6884.207	578.373	3808.746	7661.927	646.369	2112.689	6386.154	933.343	696.046	2196.997	951.97	2682.502	408.009	5216.231	12583.531	128.499	1548.631	1541.715	401.028	675.802	641.081	714.983	473.623	394.534	2316.05	295.789	1554.599	578.759	472.918	403.988	494.803	184.879	276.38	4024.172	2143.091	5268.772	4919.56	4845.673	1081.521	1335.32	99.758	3168.316	3904.788	1295.594	814.067	210.123	723.746	670.541	380.263	592.385	2104.295	2432.619	14164.878	2290.701	4467.737	4900.391	1368.152	754.82	1013.6	2288.985	2632.451	4317.713	6910.091	1958.256	558.547	7255.093	2145.808	1337.598	192.953	4047.38	1219.877	2346.3	1399.136	2704.832	4396.873	1475.345	233.677	2210.633	2533.965	333.493	267.474	17444.888	1036.06	387.14	2496.83	2674.69	514.977	26833.607	1774.884	1550.333	3098.871	202.417	248.613	696.047	987.418	15620.953	2088.382	2818.59	7689.495	8912.074	16397.859	13245.805	3996.458
hsa-mir-146b	22256.849	6021.612	17940.449	11622.511	25969.073	6833.526	16338.266	21847.956	21249.792	10093.902	10791.384	3970.348	16777.488	16102.572	5203.605	15349.59	4633.15	25296.277	5453.269	14205.623	15359.338	12730.085	4622.749	5541.019	15295.093	28771.725	8166.772	8306.933	7988.454	11312.478	9673.769	4926.017	12763.76	16065.321	9144.716	3368.8	11835.678	11911.116	10013.988	4885.493	14018.421	3787.168	731.245	2531.757	2920.056	11146.846	36395.198	17089.892	7951.772	13642.781	4367.184	14567.137	23781.703	18964.322	12130.852	18748.998	28878.401	8412.655	12743.493	18638.562	8539.896	6259.876	7328.712	12573.528	19086.731	15040.786	14941.691	16023.186	3186.428	12623.522	8382.522	3016.86	7672.207	7105.829	4996.303	2446.57	3841.361	9258.505	11192.242	6922.603	3517.89	5364.732	6885.89	2544.701	13486.663	2460.888	10212.787	10871.895	19627.861	16674.935	19617.339	8578.038	5199.341	5719.478	16628.402	8599.746	5426.706	5196.833	3948.349	9118.178	5531.584	4709.228	4014.185	8988.089	8931.039	50163.965	12662.205	17251.259	14510.176	11091.625	4189.96	6700.398	7285.307	13493.506	14138.956	23160.84	7156.234	21219.68	30672.909	10234.939	6646.911	8908.079	14781.575	8407.728	15225.986	4646.348	7871.379	13237.691	5594.097	2831.209	14536.63	16179.272	5593.593	3072.956	25351.76	7688.037	5236.481	10424.954	13791.373	7799.939	43002.504	14157.139	13624.765	16327.953	2573.271	6062.527	7707.226	5434.659	33067.26	10971.357	11235.983	15089.344	14291.441	31720.307	23534.206	10814.97
hsa-mir-148a	81471.406	286624.831	147271.485	176054.788	142178.666	290837.034	180482.77	255177.121	202101.159	487959.703	106093.107	259449.593	297291.535	181157.838	192448.404	168055.942	254110.508	203298.107	384973.693	173045.738	345834.042	177852.284	394967.991	376130.094	291404.244	345373.363	170830.939	166057.852	202870.661	153842.269	296093.127	356641.457	287190.198	268678.862	218562.661	142682.26	200548.986	143580.037	354219.861	263369.231	404289.116	500918.425	314736.052	314282.812	188818.218	165438.65	380128.574	134879.322	240636.541	298669.023	206579.522	370566.075	183215.701	218974.639	152503.208	219188.941	204215.96	122274.164	96381.469	276091.261	174264.885	146735.017	352728.112	156773.27	171901.92	260714.474	215632.965	268779.207	155380.776	132585.154	273931.013	240926.456	118844.435	236257.919	238107.212	270808.949	182879.481	354292.964	362923.303	169299.728	474127.584	241158.989	217683.376	237695.529	267441.84	235831.778	366608.184	260883.504	162567.607	181439.271	209290.033	182611.613	310253.895	127877.727	206637.066	581083.434	193701.477	458816.517	261357.234	284104.408	191102.704	289620.569	173245.754	336211.818	215798.596	147264.716	170908.601	257490.536	284791.21	198472.939	244195.45	150808.901	350507.539	348504.724	501562.375	318926.677	233248.016	125709.709	176868.484	398606.756	386171.114	404837.751	213566.373	173336.765	379833.44	428230.265	164139.566	157192.567	374655.314	151165.207	309485.623	203778.274	158309.4	430548.818	363738.591	288587.127	145357.916	517213.867	236182.1	161247.793	154392.43	378352.572	135625.851	353050.052	105028.502	205875.997	222484.68	197500.21	236176.579	246320.433	183606.615	180475.891	184259.461	458113.193	434511.248	449288.403
hsa-mir-148b	942.065	804.18	1090.826	816.244	894.392	733.814	771.135	973.613	960.025	1004.274	706.527	667.743	1035.245	994.8	608.976	809.256	937.258	957.653	1038.496	907.354	826.229	1271.194	1387.475	558.482	732.422	952.291	484.135	911.66	722.847	716.328	1401.5	927.674	896.523	1155.668	759.969	794.885	851.276	605.237	1363.002	466.663	996.797	1792.84	473.908	869.164	851.614	510.142	1098.726	913.84	1156.906	652.158	743.746	728.357	1368.587	1104.934	361.249	757.88	1051.77	748.843	720.56	894.852	585.701	804.945	1156.101	723.379	824.582	817.755	1336.099	1355.479	719.76	711.607	1027.81	722.871	873.707	1497.238	941.875	884.365	785.381	1096.344	1146.531	1143.784	960.258	572.067	815.011	360.743	1336.223	386.932	886.821	765.662	589.61	1009.287	953.862	600.992	741.359	332.528	639.602	924.818	530.454	633.594	773.544	838.021	565.627	502.189	453.196	737.511	645.454	923.732	699.88	809.363	1077.131	721.94	666.792	475.377	663.387	587.914	932.396	741.046	1165.789	861.263	1211.415	914.086	961.868	792.996	569.795	520.215	685.169	808.427	704.918	517.792	657.897	573.36	675.245	894.475	645.652	693.039	1167.167	578.708	438.798	988.373	892.243	636.45	1515.048	744.983	908.786	874.992	595.182	863.67	874.285	759.671	1309.581	681.043	481.847	812.705	615.553	1022.871	1174.77	1022.168
hsa-mir-149	253.114	211.48	202.712	209.44	262.186	211.862	343.759	86.499	90.991	432.027	193.474	323.362	249.762	223.96	789.038	232.53	538.043	130.707	632.969	204.191	224.948	113.694	388.005	385.462	319.387	295.465	176.829	246.352	240.065	197.273	156.181	185.924	216.507	132.517	213.293	451.854	244.62	360.463	225.303	267.088	297.805	472.882	1103.237	192.31	525.884	95.354	208.835	453.886	145.892	129.407	280.067	267.56	617.778	339.885	321.942	408.527	242.846	731.107	308.228	285.107	266.399	421.076	4167.624	106.874	122.644	328.144	212.771	104.973	535.411	212.664	240.949	294.247	229.953	207.469	1274.026	867.058	485.24	262.54	54.707	307.604	136.008	396.595	221.591	706.861	314.649	355.978	899.119	409.54	468.512	108.05	59.703	133.701	539.369	133.011	153.405	408.668	347.206	748.088	492.566	306.259	510.888	584.278	439.834	474.342	486.683	144.149	291.191	409.229	248.74	206.99	158.856	559.172	171.823	459.582	296.454	259.683	226.097	193.657	210.514	310.577	648.259	1130.088	295.926	268.264	260.839	1981.407	169.816	223.156	200.422	2107.738	374.972	277.242	463.185	164.928	179.811	503.54	828.907	516.914	218.814	389.227	151.575	837.489	139.543	427.504	1823.396	186.46	236.625	204.586	264.603	167.433	103.192	273.469	285.875	170.922	161.666	231.401
hsa-mir-150	31461.829	11542.35	41529.557	25048.218	18746.279	11247.969	27242.268	23163.54	41724.178	6364.824	2805.38	810.561	8043.059	17682.447	4212.249	11923.389	4618.536	12805.375	719.01	16021.768	3090.631	1502.21	7991.287	1488.191	5684.893	7123.051	2365.737	3305.356	1427.125	1553.93	6556.05	1114.085	32078.642	8388.606	6760.853	374.799	7029.391	8636.503	6962.015	512.661	2109.321	1761.314	264.981	463.528	1972.477	17216.108	17975.979	20274.981	8516.249	7282.642	1267.273	1517.523	14773.814	35864.618	5328.89	17455.14	29393.709	10371.469	33847.926	26347.229	5711.528	4380.461	26781.328	8521.222	8055.334	880.258	64012.961	33330.509	316.207	7863.118	4945.226	3069.95	2194.388	7251.058	2672.024	7943.132	201.323	18750.449	5045.572	3448.612	1840.454	3399.589	1811.918	2154.708	1139.493	2067.323	12736.606	26074.487	8725.038	51084.843	55787.72	3919.687	13747.354	1105.655	6011.265	16376.25	15427.106	3291.198	877.139	3514.61	2216.891	4335.001	2003.195	16870.441	45682.016	11145.587	55635.846	12758.839	54612.762	14529.675	4048.305	7317.582	7023.837	20125.089	22580.731	21502.988	2564.436	7780.923	35863.047	11037.852	7712.982	1053.644	6330.234	6762.797	22358.487	4408.377	42640.809	33571.049	7896.246	1258.53	29945.975	14497.568	1148.138	1901.37	19464.552	5782.556	1648.313	16685	15094.061	3440.596	88066.285	10749.213	8128.608	1946.251	316.516	767.851	433.301	4240.725	9732.538	15553.126	17661.174	91197.014	31837.4	29528.916	7668.699	20941.825
hsa-mir-151a	41637.33	17853.356	24605.394	29658.777	14813.493	16889.287	21911.047	10745.951	11041.61	11139.862	14222.101	9740.206	11749.671	10829.956	23946.293	9406.288	12296.613	10720.538	15059.186	9878.796	23326.322	16205.609	21559.694	10895.878	12573.402	19396.549	11586.618	18657.648	11670.332	10723.893	14833.623	9612.571	22650.923	13344.109	11123.502	12144.645	13810.248	16022.345	14040.675	12455.966	24003.364	18832.355	14640.19	14801.558	11418.104	24896.848	11629.109	17738.56	24346.847	22295.082	11599.533	34731.406	28038.719	26209.425	32415.074	30376.654	28391.862	32036.667	39406.236	48151.915	15207.438	14824.78	30715.509	11474.111	13512.973	11715.944	25307.976	11481.822	14017.26	16595.978	17893.324	10441.13	12909.391	14494.508	14322.268	15759.927	11035.157	9162.978	10555.228	14694.585	10372.808	11992.718	10872.009	10853.978	16816.85	8961.347	30944.445	25231.241	28797.588	13881.181	18880.075	14441.022	22879.501	39464.816	17955.854	22407.056	37773.69	18806.986	13648.679	14875.637	16301.296	41087.747	12654.982	17575.056	12867.589	16181.987	12711.247	9557.761	18177.973	24707.516	11387.059	15888.87	19474.301	12828.812	23776.111	15802.638	11540.714	14619.044	15981.873	56207.461	19809.479	6522.184	16435.817	20009.25	15063.742	29162.459	17732.898	8516.544	6558.291	4996.593	8798.895	25124.021	13067.998	50401.263	12272.108	11322.399	11452.093	36370.002	9955.339	53304.434	15513.703	56394.209	11423.231	31519.701	19941.339	18374.039	18372.268	13594.562	14142.805	17952.616	13691.269	15610.092	13114.128	11592.76	15563.731	17107.174
hsa-mir-152	518.96	698.44	723.581	592.458	589.918	589.363	681.606	792.569	1600.921	740.889	1357.776	4682.822	1894.33	951.397	530.072	1562.022	1321.195	1520.598	3423.634	851.273	9941.405	7635.632	11401.672	3552.385	1272.62	554.794	1589.748	3442.654	3968.364	2703.611	4325.319	5878.513	745.069	742.709	442.718	1937.533	960.866	1031.461	4347.864	1546.887	1698.875	8193.88	56.054	8744.375	2317.949	533.981	2614.269	695.999	4859.416	1162.096	1364.309	158.103	424.608	668.646	647.628	632.705	697.231	504.483	367.424	527.088	1173.291	1152.514	395.136	845.096	1420.839	3979.393	674.332	1395.226	1870.368	954.262	650.828	3621.252	2346.191	6489.645	915.365	2691.746	1989.632	3072.672	7652.506	3801.899	4287.64	3632.125	8918.896	168.184	6851.77	1021.501	535.645	750.4	329.546	1200.013	685.892	1425.702	373.409	960.174	550.527	444.102	396.501	582.17	4730.2	3910.257	477.437	842.615	1105.71	854.24	481.896	645.24	601.794	667.757	498.589	454.368	2564.972	235.271	265.953	625.207	683.757	576.369	4675.176	1512.561	633.457	322.93	407.792	4885.536	334.525	897.235	763.795	305.481	1066.539	261.511	4890.896	1986.257	969.602	353.683	2783.041	352.928	863.735	2634.527	1214.265	421.776	1478.691	1027.388	846.583	810.354	3013.781	240.516	1850.275	1061.784	987.988	3476.422	720.605	510.217	360.745	372.843	303.55	1239.017	786.054	835.133
hsa-mir-153-2	125.808	51.479	129.081	57.381	50.746	90.523	86.151	42.244	80.442	92.848	15.547	29.642	308.884	149.307	44.51	396.746	100.302	144.942	658.314	202.753	61.834	81.642	55.255	31.757	84.776	232.759	144.21	33.736	38.463	58.212	114.336	76.901	100.63	46.227	26.886	11.491	70.45	40.187	53.529	13.354	23.145	32.211	94.272	41.238	129.963	66.748	271.059	48.544	60.675	55.094	58.686	22.972	103.874	124.83	127.279	119.486	124.385	149.769	112.268	75.469	41.566	35.392	565.924	76.197	45.665	50.35	258.843	170.199	244.819	92.7	44.455	49.191	29.798	70.54	32.747	38.074	4.425	66.426	37.553	32.148	37.619	31.385	56.277	63.374	55.701	42.01	86.086	386.647	77.424	306.142	99.968	97.959	90.623	78.975	30.929	77.954	52.51	28.138	96.754	79.739	36.492	121.926	33.405	108.239	256.107	123.557	261.561	155.897	101.05	73.204	91.064	41.898	38.847	408.03	169.744	49.086	28.544	107.021	127.266	45.881	119.232	252.819	68.008	76.129	164.74	116.454	409.268	69.736	31.024	1804.809	107.24	83.287	80.285	29.909	229.58	38.037	28.501	34.884	50.286	103.509	122.238	27.135	39.055	79.22	68.569	111.358	26.121	83.765	77.232	145.938	42.641	198.747	70.7	112.396	115.681	103.522
