	TCGA.RZ.AB0B.01A	TCGA.V3.A9ZX.01A	TCGA.V3.A9ZY.01A	TCGA.V4.A9E5.01A	TCGA.V4.A9E7.01A	TCGA.V4.A9E8.01A	TCGA.V4.A9E9.01A	TCGA.V4.A9EA.01A	TCGA.V4.A9EC.01A	TCGA.V4.A9ED.01A	TCGA.V4.A9EE.01A	TCGA.V4.A9EF.01A	TCGA.V4.A9EH.01A	TCGA.V4.A9EI.01A	TCGA.V4.A9EJ.01A	TCGA.V4.A9EK.01A	TCGA.V4.A9EL.01A	TCGA.V4.A9EM.01A	TCGA.V4.A9EO.01A	TCGA.V4.A9EQ.01A	TCGA.V4.A9ES.01A	TCGA.V4.A9ET.01A	TCGA.V4.A9EU.01A	TCGA.V4.A9EV.01A	TCGA.V4.A9EW.01A	TCGA.V4.A9EX.01A	TCGA.V4.A9EY.01A	TCGA.V4.A9EZ.01A	TCGA.V4.A9F0.01A	TCGA.V4.A9F1.01A	TCGA.V4.A9F2.01A	TCGA.V4.A9F3.01A	TCGA.V4.A9F4.01A	TCGA.V4.A9F5.01A	TCGA.V4.A9F7.01A	TCGA.V4.A9F8.01A	TCGA.VD.A8K7.01B	TCGA.VD.A8K8.01A	TCGA.VD.A8K9.01A	TCGA.VD.A8KA.01B	TCGA.VD.A8KB.01A	TCGA.VD.A8KD.01A	TCGA.VD.A8KE.01A	TCGA.VD.A8KF.01A	TCGA.VD.A8KG.01A	TCGA.VD.A8KH.01A	TCGA.VD.A8KI.01A	TCGA.VD.A8KJ.01A	TCGA.VD.A8KK.01A	TCGA.VD.A8KL.01A	TCGA.VD.A8KM.01A	TCGA.VD.A8KN.01A	TCGA.VD.A8KO.01A	TCGA.VD.AA8M.01A	TCGA.VD.AA8N.01A	TCGA.VD.AA8O.01A	TCGA.VD.AA8P.01A	TCGA.VD.AA8Q.01A	TCGA.VD.AA8R.01A	TCGA.VD.AA8S.01B	TCGA.VD.AA8T.01A	TCGA.WC.A87T.01A	TCGA.WC.A87U.01A	TCGA.WC.A87W.01A	TCGA.WC.A87Y.01A	TCGA.WC.A880.01A	TCGA.WC.A881.01A	TCGA.WC.A882.01A	TCGA.WC.A883.01A	TCGA.WC.A884.01A	TCGA.WC.A885.01A	TCGA.WC.A888.01A	TCGA.WC.A88A.01A	TCGA.WC.AA9A.01A	TCGA.WC.AA9E.01A	TCGA.YZ.A980.01A	TCGA.YZ.A982.01A	TCGA.YZ.A983.01A	TCGA.YZ.A984.01A	TCGA.YZ.A985.01A
ENSG00000188171.16	88.81420236	66.07968459	31.42551392	63.87485133	40.45192994	16.50477258	36.97609058	18.59449244	57.51944918	22.1450873	235.3372331	51.08493719	60.07263923	184.9809416	90.65763965	181.0902577	125.3594763	54.13071984	69.95090667	51.67021318	232.7201663	34.2096915	227.2678304	153.2031772	97.65272066	204.7981427	41.12831558	53.72680802	39.13017228	88.02011399	95.57586189	151.3940918	138.0328927	107.8602972	126.9786207	33.03171404	161.7708985	144.1448107	181.769374	106.7155745	56.42367608	208.6085089	67.79851632	187.3839749	38.50686485	244.0423746	35.4630448	125.7585286	57.16801461	42.62069283	48.89260504	70.17674548	108.9161346	26.43949112	36.63895178	43.34595811	83.13615912	53.09495209	90.45204715	64.82921016	214.605757	212.4457395	89.08426356	324.6844032	143.5173177	76.5282087	150.9036483	33.64847802	67.11943607	48.55508709	64.76160124	98.23023131	6.790568442	193.5658574	259.9437477	126.6557063	29.92652028	107.8555732	78.6245226	51.8014163
ENSG00000188176.12	8.962901156	20.26443661	7.85637848	4.913450102	20.74457945	34.84340879	15.40670441	2.656356063	4.793287431	12.07913853	2.073455798	1.85763408	648.7845037	33.10738444	0	2.611878717	34.99883857	0	10.88125215	22.68448384	0.743514908	26.77280204	3.183022834	37.31872266	10.77052066	14.02727005	21.93510164	29.54974441	15.80256958	1.671267987	4.624638479	5.607188584	3.73061872	27.62275905	5.263362517	27.81618024	1.400613839	4.68763612	2.464669479	13.81928303	7.782576011	5.150827381	7.136685929	4.11832912	16.17288324	0.622557078	23.64202987	32.31783417	2.658977424	18.94253015	11.28290886	16.06455619	1.67563284	1.259023387	18.31947589	10.19904897	19.26325638	6.925428533	1.458903986	68.01753197	5.588691588	3.862649809	7.288712473	8.02451947	4.484916179	6.377350725	9.028423402	15.53006678	55.41255769	3.531279061	12.95232025	15.96241259	2.263522814	6.500345957	23.44320271	9.235311916	11.63809122	2.813623648	29.25563632	20.27011942
ENSG00000188227.13	32.59236784	28.19399876	54.99464936	67.15048473	5.186144864	7.335454482	77.03352205	71.7216137	92.67022367	9.059353894	134.2562629	26.00687711	55.64623424	183.4043995	185.9249898	282.9535276	12.09050787	58.21605719	67.61920978	10.08199282	191.0833314	92.21742925	22.28115984	30.77157833	143.6069421	168.8883314	35.64454017	42.98144642	16.55507289	107.5182405	95.57586189	170.0847204	185.5982813	10.52295583	232.2458711	26.07766898	343.8506976	40.43086154	376.4782629	151.2443754	172.1894942	225.9925513	107.9423747	67.26604229	62.38112105	175.561096	27.18833435	189.6916353	43.87312749	14.20689761	47.6389485	26.21059168	200.2381243	59.17409917	7.327790356	2.549762242	16.22168959	90.03057093	75.86300728	94.5868804	203.987243	358.5826573	167.6403869	319.7462374	58.30391033	72.88400828	297.9379723	28.47178909	21.07238109	67.97712192	155.427843	81.03994083	4.527045628	108.3390993	258.5647358	166.2356145	48.21494935	158.5007988	9.142386349	49.54918081
ENSG00000188257.12	21.99984829	37.88568583	0	58.96140122	0	0	0	66.40890157	15.97762477	94.61991845	18.66110218	2.786451119	0.632343571	0	0	9.576888627	1.909027559	297.208292	12.43571674	0	0	2.974755782	3.183022834	11.78485979	7.180347107	0.561090802	2.741887705	0	123.4105434	8.913429265	0	6.230209538	3.73061872	0	0.657920315	1.738511265	1.400613839	4.101681605	0.61616737	20.72892454	1.945644003	13.52092187	325.6112955	1.372776373	0.770137297	8.715799091	5.910507467	2.810246449	214.0476826	55.24904627	10.65608059	10.99153845	0.83781642	202.7027652	18.31947589	14.02369233	17.23554518	36.93561884	0	51.01314898	22.35476635	0.643774968	15.38728189	2.469082914	162.7383871	0	1.289774772	465.9020033	32.77925948	349.596627	4.317440083	52.79874933	13.58113688	0	0	39.57990821	23.27618244	0.937874549	290.7278859	49.54918081
ENSG00000188322.8	58.66626211	142.7321187	171.5309301	162.1438534	146.2492852	157.7122714	191.0431347	879.2538568	75.09483642	285.8729451	407.4340644	108.6715937	366.1269275	177.6237451	46.09710491	146.2652081	73.17938974	238.9922348	129.0205612	216.7628455	79.55609518	89.24267347	120.9548677	206.8897607	51.69849917	116.7068868	95.96606969	107.453616	170.0657488	140.9436003	837.0595646	111.5207507	166.9451877	124.9601005	138.1632661	295.5469151	117.6515625	141.2150381	28.95986637	80.61248433	342.4333445	144.2231667	123.1078323	158.5556711	33.11590377	132.6046576	119.3922508	38.64088868	417.4594555	250.9885245	107.8144624	87.93230759	180.9683467	215.2929991	208.8420252	116.014182	241.2976326	560.9597112	126.9246468	28.6948963	164.8664019	160.2999671	209.7529478	351.8443152	258.8437338	45.55250518	77.3864863	150.1239788	63.21714328	216.2908425	103.618562	158.396248	71.30096865	125.6733552	64.12405447	708.480357	458.873311	136.9296842	246.8444314	308.5562623
ENSG00000188338.15	105.1103863	370.9272962	20.95034261	98.26900204	65.34542528	108.1979536	18.48804529	47.81440913	17.57538725	148.9760418	50.79966706	23.22042599	44.26404996	274.8438422	48.40196015	8.706262388	41.36226377	297.208292	67.61920978	206.6808527	60.22470757	19.33591258	160.4243508	96.24302159	21.54104132	162.1552418	249.5117812	26.86340401	102.3404506	88.57720332	10.79082312	95.32220593	13.05716552	106.5449278	11.84256566	271.2077574	4.201841518	65.62690568	44.98021798	62.18677363	10.70104201	54.0836875	39.25177261	36.37857389	30.03535458	54.78502286	364.0872599	51.98955931	372.2568393	115.2337251	254.4922775	40.58414196	1.67563284	119.6072217	146.5558071	10.19904897	131.8012279	247.006951	4.376711959	124.3445506	57.0046542	5.150199746	11.33799718	32.09807788	805.3628054	3.644200414	10.31819817	339.0731246	315.3052578	738.0373237	43.17440083	55.25450511	19.23994392	64.28119891	8.963577506	6117.074814	405.6706083	6.565121846	1298.218862	45.04470982
ENSG00000188385.12	158.072984	80.17668397	51.06646012	16.37816701	37.34024302	38.51113603	70.87084028	13.28178031	41.54182441	32.21103607	117.6686166	37.15268159	88.52809992	105.1028077	18.43884196	53.97882681	138.7226693	25.53335842	65.28751289	28.98572935	45.3544094	50.5708483	234.2704806	118.5033123	90.47237355	173.9381486	46.61209099	29.54974441	58.69525842	107.5182405	27.74783087	133.3264841	112.8512163	31.56886749	138.1632661	38.24724784	116.9512556	33.39940736	82.56642753	39.15463525	54.47803207	55.37139434	49.9568015	48.04717306	3.080549188	181.1641097	47.28405973	76.57921575	15.95386454	25.25670686	69.57793794	61.7217159	92.15980617	23.92144435	43.96674214	29.32226578	18.24940078	78.48819004	115.9828669	30.82044418	169.3373551	158.3686422	46.16184566	86.41790199	142.8766154	23.68730269	28.37504498	25.88344463	118.629701	33.54715108	43.17440083	50.34299355	20.37170533	85.2267581	63.43454851	137.2103485	24.9387669	101.2904513	25.59868178	6.756706474
ENSG00000188389.11	38.29603221	177.9746172	10.47517131	1.637816701	1.037228973	122.8688626	0	0	1.597762477	41.27038996	80.86477613	13.9322556	22.13202498	16.2909352	2.304855245	40.91943323	246.264555	8.170674693	2.331696889	20.16398563	0.743514908	0	34.37664661	559.1261254	0.718034711	7.855271228	19.19321394	13.43170201	40.63517891	6.685071949	16.95700776	302.1651626	8.393892121	3.946108436	0.657920315	8.692556327	0	261.3357137	0.61616737	0.767737946	1.945644003	380.5173728	0.892085741	8.923046426	6.931235672	29.26018266	37.82724779	1.405123225	37.22568393	6.314176716	504.5967571	65.94923069	0	5.036093547	54.95842767	56.09476932	3.041566797	20.7762856	0	3.188321811	6.706429906	0.643774968	0.809856941	0.617270728	144.7987224	2.733150311	2.579549543	12.94172231	7.024127031	32.66433131	0	343.8058096	9.054091257	0	26.20122656	21.76894952	6.650337841	5.627247296	3.65695454	6.756706474
ENSG00000188404.10	49.70336095	273.129363	39.2818924	27.84288391	13.48397665	341.0986334	7.703352205	21.2508485	17.57538725	243.5959603	30.58347303	19.50515784	190.9677584	40.99009502	22.28026737	79.22698774	259.627748	23.49068974	55.18349304	31.50622755	5.948119266	26.77280204	50.29176078	612.1579945	27.28531901	32.54326652	54.83775411	155.8077433	166.3032322	59.60855821	189.6101776	112.1437717	89.53484929	46.03793175	9.210884405	85.187052	4.201841518	84.96340468	10.47484528	31.47725579	8.755398012	183.4982254	31.22300094	10.2958228	155.567734	6.848127857	36.64514629	16.8614787	43.87312749	12.62835343	893.2302844	224.0582838	12.5672463	32.73460805	186.8586541	29.32226578	89.21929272	62.3288568	21.1541078	25.50657449	29.62006542	11.58794943	22.67599436	51.23347047	90.97972821	23.68730269	51.59099087	235.5393461	42.14476218	291.3305225	2.158720041	551.3171733	56.58807035	15.1674739	63.43454851	157.6599677	53.20270273	15.94386734	23.77020451	18.01788393
ENSG00000188488.14	7.333282764	97.7979332	103.4423166	21.29161711	1.037228973	18.3386362	3.081340882	2.656356063	12.78209982	7.04616414	38.87729622	2.786451119	27.82311712	22.59710366	9.219420981	0.870626239	0.63634252	45.96004515	80.05492652	1.260249102	0.743514908	0	29.28381007	3.273572163	34.46566611	35.34872053	27.41887705	0	14.29756295	11.14178658	6.166184638	27.41292197	5.59592808	1.315369479	14.47424692	13.90809012	0	6.445499665	77.02092121	4.606427676	2.918466004	6.438534226	6.244600188	3.431940933	13.09233405	98.36401831	7.09260896	4.917931287	5.317954847	23.67816269	3.134141349	18.60106507	3.351265679	6.295116933	7.327790356	0	9.124700392	25.39323795	10.2123279	6.376643623	8.941906541	4.506424778	6.478855532	11.11087311	140.3138062	23.68730269	15.47729726	7.765033388	225.5525235	345.1825282	2.158720041	11.05090102	1.131761407	0	2.758023848	953.2161228	24.9387669	4.689372747	12.79934089	15.76564844
ENSG00000188505.5	48.07374256	226.4330525	570.8968362	578.1492953	209.5202525	196.2234074	220.3158731	302.8245912	183.7426849	352.308207	37.84056832	136.5361048	244.7169619	131.9040237	135.9864595	217.6565597	47.08934644	320.6989817	78.50046193	346.5685031	40.89331995	1421.933264	68.75329322	119.8127412	99.80682479	49.37599058	488.0560115	265.9476997	150.5006626	35.65371706	650.5324793	85.97689163	105.3899788	78.92216872	68.42371273	168.6355927	18.20797991	45.70445217	55.45506327	215.7343628	332.7051245	79.19397098	210.5322349	76.18908871	391.9998841	33.61808221	189.1362389	87.11763993	428.0953652	301.5019382	136.6485628	98.92384603	67.86313	193.8896015	216.1698155	126.213231	181.4801522	567.8851397	142.2431387	413.4190615	67.62316822	87.55339568	149.0136772	148.7622456	113.4043091	60.12930683	265.693603	434.8418697	131.1170379	207.4626448	256.8876849	158.396248	161.8418812	257.1247956	197.1987051	60.68919259	194.5223818	46.89372747	665.5657262	180.1788393
ENSG00000188508.11	4.888855176	6.167437229	14.40336055	18.01598371	4.148915891	3.667727241	1.540670441	2.656356063	25.56419963	11.07254365	8.812187143	13.9322556	3.794061425	11.03579481	8.4511359	2.611878717	12.72685039	4.085337347	8.54955526	6.30124551	14.87029816	7.436889456	5.729441101	27.49800617	7.180347107	6.171998822	2.741887705	10.7453616	8.277536444	2.785446645	7.707730798	3.115104769	8.393892121	7.892216872	17.10592818	6.954045061	20.30890067	11.13313579	6.161673696	18.4257107	10.70104201	14.1647753	8.02877167	10.98221099	16.17288324	4.357899546	4.728405973	8.430739348	27.91926295	25.25670686	6.895110967	9.300532533	19.26977765	18.8853508	3.663895178	1.274881121	7.096989193	36.93561884	5.835615945	3.188321811	11.17738318	28.96987357	7.288712473	11.11087311	6.407023113	5.466300621	9.028423402	7.765033388	1.560917118	6.179738357	6.476160124	23.32967994	1.131761407	15.1674739	13.79011924	3.298325684	8.312922301	40.32860562	18.2847727	13.51341295
ENSG00000188536.13	70.07359085	46.69631045	127.0114521	219.4674379	90.23892063	638.1845399	892.0481853	772.9996143	276.4129085	92.6067287	9.848915042	775.5622282	192.8647891	96.16906908	86.04792916	43.53131194	36.27152361	81.70674693	41.970544	351.6094995	64.68579701	330.1978918	58.56762015	34.69986493	12.92462479	44.88726416	455.1533591	483.5412722	201.6708879	20.05521585	295.9768626	28.65896388	43.83476996	135.4830563	25.65889227	486.7831543	74.93284041	69.72858729	29.57603374	203.4505557	97.28220013	25.11028348	259.5969507	13.72776373	321.1472528	131.9821005	721.0819109	34.42551901	344.3375764	232.0459943	250.1044796	161.4910649	26.81012543	969.4480077	318.7588805	89.24167846	133.8289391	604.8207585	27.71917574	238.0613619	63.71108411	20.60079898	95.56311909	8.02451947	93.54253746	77.4392588	54.17054041	2267.389749	15285.28088	214.5252029	30.22208058	101.913865	315.7614326	49.83598567	461.2794886	61.34885773	186.2094595	87.22233309	795.3876124	240.9891976
