	TCGA.2H.A9GF.01A	TCGA.2H.A9GG.01A	TCGA.2H.A9GH.01A	TCGA.2H.A9GI.01A	TCGA.2H.A9GJ.01A	TCGA.2H.A9GK.01A	TCGA.2H.A9GL.01A	TCGA.2H.A9GM.01A	TCGA.2H.A9GN.01A	TCGA.2H.A9GO.01A	TCGA.2H.A9GQ.01A	TCGA.2H.A9GR.01A	TCGA.IC.A6RE.01A	TCGA.IC.A6RE.11A	TCGA.IC.A6RF.01A	TCGA.IC.A6RF.11A	TCGA.IG.A3I8.01A	TCGA.IG.A3I8.11A	TCGA.IG.A3QL.01A	TCGA.IG.A3Y9.01A	TCGA.IG.A3YA.01A	TCGA.IG.A3YB.01A	TCGA.IG.A3YC.01A	TCGA.IG.A4P3.01A	TCGA.IG.A4QS.01A	TCGA.IG.A4QT.01A	TCGA.IG.A50L.01A	TCGA.IG.A51D.01A	TCGA.IG.A5B8.01A	TCGA.IG.A5S3.01A	TCGA.IG.A625.01A	TCGA.IG.A6QS.01A	TCGA.IG.A7DP.01A	TCGA.IG.A8O2.01A	TCGA.IG.A97H.01A	TCGA.IG.A97I.01A	TCGA.JY.A6F8.01A	TCGA.JY.A6FA.01A	TCGA.JY.A6FB.01A	TCGA.JY.A6FD.01A	TCGA.JY.A6FE.01A	TCGA.JY.A6FG.01A	TCGA.JY.A6FH.01A	TCGA.JY.A938.01A	TCGA.JY.A939.01A	TCGA.JY.A93C.01A	TCGA.JY.A93D.01A	TCGA.JY.A93E.01A	TCGA.JY.A93F.01A	TCGA.KH.A6WC.01A	TCGA.L5.A43C.01A	TCGA.L5.A43C.11A	TCGA.L5.A43E.01A	TCGA.L5.A43H.01A	TCGA.L5.A43I.01A	TCGA.L5.A43J.01A	TCGA.L5.A43M.01A	TCGA.L5.A4OE.01A	TCGA.L5.A4OF.01A	TCGA.L5.A4OF.11A	TCGA.L5.A4OG.01A	TCGA.L5.A4OG.11A	TCGA.L5.A4OH.01A	TCGA.L5.A4OI.01A	TCGA.L5.A4OJ.01A	TCGA.L5.A4OJ.11A	TCGA.L5.A4OM.01A	TCGA.L5.A4OM.11A	TCGA.L5.A4ON.01A	TCGA.L5.A4OO.01A	TCGA.L5.A4OP.01A	TCGA.L5.A4OQ.01A	TCGA.L5.A4OQ.11A	TCGA.L5.A4OR.01A	TCGA.L5.A4OS.01A	TCGA.L5.A4OT.01A	TCGA.L5.A4OU.01A	TCGA.L5.A4OW.01A	TCGA.L5.A4OX.01A	TCGA.L5.A88S.01A	TCGA.L5.A88T.01A	TCGA.L5.A88V.01A	TCGA.L5.A88W.01A	TCGA.L5.A88Y.01A	TCGA.L5.A88Z.01A	TCGA.L5.A891.01A	TCGA.L5.A893.01A	TCGA.L5.A8NE.01A	TCGA.L5.A8NF.01A	TCGA.L5.A8NG.01A	TCGA.L5.A8NH.01A	TCGA.L5.A8NI.01A	TCGA.L5.A8NJ.01A	TCGA.L5.A8NK.01A	TCGA.L5.A8NL.01A	TCGA.L5.A8NM.01A	TCGA.L5.A8NN.01A	TCGA.L5.A8NQ.01A	TCGA.L5.A8NR.01A	TCGA.L5.A8NS.01A	TCGA.L5.A8NT.01A	TCGA.L5.A8NU.01A	TCGA.L5.A8NV.01A	TCGA.L5.A8NW.01A	TCGA.L7.A56G.01A	TCGA.L7.A6VZ.01A	TCGA.LN.A49K.01A	TCGA.LN.A49L.01A	TCGA.LN.A49M.01A	TCGA.LN.A49N.01A	TCGA.LN.A49O.01A	TCGA.LN.A49P.01A	TCGA.LN.A49R.01A	TCGA.LN.A49S.01A	TCGA.LN.A49U.01A	TCGA.LN.A49W.01A	TCGA.LN.A49X.01A	TCGA.LN.A49Y.01A	TCGA.LN.A4A1.01A	TCGA.LN.A4A2.01A	TCGA.LN.A4A3.01A	TCGA.LN.A4A4.01A	TCGA.LN.A4A5.01A	TCGA.LN.A4A6.01A	TCGA.LN.A4A8.01A	TCGA.LN.A4A9.01A	TCGA.LN.A4MQ.01A	TCGA.LN.A4MR.01A	TCGA.LN.A5U5.01A	TCGA.LN.A5U6.01A	TCGA.LN.A5U7.01A	TCGA.LN.A7HV.01A	TCGA.LN.A7HW.01A	TCGA.LN.A7HX.01A	TCGA.LN.A7HY.01A	TCGA.LN.A7HZ.01A	TCGA.LN.A8HZ.01A	TCGA.LN.A8I0.01A	TCGA.LN.A8I1.01A	TCGA.LN.A9FO.01A	TCGA.LN.A9FP.01A	TCGA.LN.A9FQ.01A	TCGA.LN.A9FR.01A	TCGA.M9.A5M8.01A	TCGA.Q9.A6FU.01A	TCGA.Q9.A6FW.01A	TCGA.R6.A6DN.01B	TCGA.R6.A6DQ.01B	TCGA.R6.A6KZ.01A	TCGA.R6.A6L4.01A	TCGA.R6.A6L6.01B	TCGA.R6.A6XG.01B	TCGA.R6.A6XQ.01B	TCGA.R6.A6Y0.01B	TCGA.R6.A6Y2.01B	TCGA.R6.A8W5.01B	TCGA.R6.A8W8.01B	TCGA.R6.A8WC.01A	TCGA.R6.A8WG.01A	TCGA.RE.A7BO.01A	TCGA.S8.A6BV.01A	TCGA.S8.A6BW.01A	TCGA.V5.A7RB.01A	TCGA.V5.A7RC.01B	TCGA.V5.A7RC.06A	TCGA.V5.A7RE.01A	TCGA.V5.A7RE.11A	TCGA.V5.AASV.01A	TCGA.V5.AASW.01A	TCGA.V5.AASX.01A	TCGA.V5.AASX.11A	TCGA.VR.A8EO.01A	TCGA.VR.A8EP.01A	TCGA.VR.A8EQ.01A	TCGA.VR.A8ER.01A	TCGA.VR.A8ET.01A	TCGA.VR.A8EU.01A	TCGA.VR.A8EW.01A	TCGA.VR.A8EX.01A	TCGA.VR.A8EY.01A	TCGA.VR.A8EZ.01A	TCGA.VR.A8Q7.01A	TCGA.VR.AA4D.01A	TCGA.VR.AA4G.01A	TCGA.VR.AA7B.01A	TCGA.VR.AA7D.01A	TCGA.VR.AA7I.01A	TCGA.X8.AAAR.01A	TCGA.XP.A8T6.01A	TCGA.XP.A8T8.01A	TCGA.Z6.A8JD.01A	TCGA.Z6.A8JE.01A	TCGA.Z6.A9VB.01A	TCGA.Z6.AAPN.01A	TCGA.ZR.A9CJ.01B
hsa-mir-148a	68402.341	95170.494	89068.453	147394.82	105635.737	155231.155	192681.679	62848.345	159255.22	135918.267	22504.557	105873.046	127291.19	65901.063	63432.039	69731.11	29921.051	25825.534	32519.05	97363.339	46104.407	60099.822	94994.22	118024.496	38940.948	267801.769	87439.624	112284.372	39933.168	58858.029	48984.267	31187.917	167973.816	34666.45	63830.099	49338.93	15799.392	105396.876	56142.005	91716.519	41080.67	47816.193	360279.073	125069.739	609656.464	151627.74	97877.728	53109.709	17987.035	112913.866	178296.465	1486370.003	169283.658	104363.743	117141.295	18885.383	173727.016	42686.871	88272.845	1033971.414	157091.036	1123810.907	42721.357	111947.261	193789.352	1431830.839	70872.065	228364.141	179350.575	112991.083	77343.932	60766.326	45886.012	474302.476	66657.383	119561.103	54715.147	86214.828	72571.147	29463.698	57881.016	14669.193	52198.655	57964.043	38104.254	32237.03	82964.469	116902.183	108725.01	125021.284	139865.08	75188.883	80116.383	41509.537	52128.787	77769.925	94696.572	89762.263	40639.918	52305.475	78327.347	192413.272	106909.218	93305.107	63495.461	22900.557	126736.22	36450.02	34186.498	74699.881	43416.856	48074.167	54234.793	230640.039	43425.628	126041.31	52092.769	37531.576	39219.737	37028.564	66075.907	77361.131	36070.769	70082.174	74936.719	34471.792	42928.357	15329.746	45512.226	38061.143	60510.619	66224.694	49158.592	31109.61	75323.199	48417.871	65284.951	23767.305	82596.274	48934.936	42596.681	25319.64	26381.691	195790.371	69635.653	116553.522	34106.687	133505.499	59001.804	160855.068	29599.969	63326.998	141458.85	87455.946	84025.098	134432.646	114244.594	228310.968	240619.318	50765.561	30589.28	69852.149	267312.087	38385.518	47985.708	37855.598	104309.88	121332.871	210307.797	187100.11	718428.208	54701.945	79803.974	20173.125	85508.558	94624.502	35274.947	78292.333	164749.233	25545.464	38851.017	76587.094	77452.201	80632.345	32613.64	63486.779	61117.625	159165.539	94044.589	63355.414	112332.825	75320.617	77214.529	93264.609	24272.252
hsa-mir-148b	509.967	530.201	572.818	785.931	536.725	897.191	493.847	304.977	1074.866	520.035	705.738	472.769	296.218	216.846	475.477	276.931	165.31	270.148	235.179	311.419	252.526	371.792	254.548	312.819	400.78	442.172	272.464	376.553	199.467	341.886	343.324	402.607	492.824	480.97	301.288	304.767	861.176	590.49	661.193	490.116	310.588	482.259	791.369	373.512	574.314	476.877	371.529	409.93	488.012	294.086	316.235	665.048	320.532	267.752	394.941	251.705	774.631	566.767	308.491	574.422	311.998	511.269	196.029	363.155	649.018	742.54	344.937	443.205	369.16	251.159	456.064	293.028	253.251	824.465	259.559	281.016	329.062	231.286	337.501	216.081	339.254	753.419	344.378	275.967	442.264	748.438	287.095	966.273	584.929	263.703	834.432	1138.603	507.499	319.687	404.827	597.275	624.836	281.871	562.745	315.829	496.429	443.988	580.423	367.735	308.322	534.658	256.033	318.195	216.2	278.692	441.124	444.307	574.882	499.164	217.265	237.947	219.01	944.02	268.926	208.475	280.036	235.669	229.853	269.3	280.455	506.275	219.869	355.942	371.553	169.563	247.201	357.29	307.97	401.964	300.737	419.837	401.876	304.337	531.722	404.182	488.684	321.992	326.781	445.041	277.682	342.261	275.429	286.261	213.428	274.618	278.062	508.644	247.743	370.021	319.208	840.672	352.97	424.527	513.769	278.082	178.159	234.964	537.644	256.242	477.837	377.909	412.215	343.623	481.407	340.815	419.534	243.303	590.17	803.561	249.763	486.405	221.404	317.443	354.82	292.206	342.666	323.867	249.707	446.255	343.834	764.567	467.667	565.723	282.333	258.004	307.793	449.803	275.655	429.135	505.133
hsa-mir-149	14.843	27.689	34.812	18.338	18.561	13.032	33.368	44.287	105.725	67.163	1636.839	19.019	97.22	408.478	621.632	525.078	311.924	171.289	1227.134	211.132	437.121	47.79	119.274	830.229	19.297	14.206	968.261	421.514	348.05	349.449	571.689	110.894	27.91	414.55	635.046	616.394	8.377	334.737	21.35	258.287	267.25	187.718	53.119	93.378	44.539	12.751	31.113	30.643	347.078	924.042	11.068	56.507	5.914	898.881	14.467	429.189	18.705	105.668	57.353	47.497	40.602	62.573	67.358	41.573	18.666	52.569	631.885	59.575	11.699	32.125	17.757	11.537	86.829	14.802	17.697	34.211	14.589	40.195	28.832	156.472	209.917	79.307	190.352	109.884	666.113	59.22	83.466	16.805	16.44	39.988	8.936	30.396	39.298	994.381	25.536	38.438	94.672	151.179	89.81	80.637	21.683	19.506	31.138	73.547	611.477	23.368	443.455	113.482	159.389	174.302	261.407	645.578	2122.095	353.312	1638.389	61.884	763.175	230.099	172.306	996.681	635.081	1260.281	196.216	795.658	693.539	195.299	727.812	527.852	599.967	765.17	933.694	762.979	985.926	1197.193	277.789	271.403	508.969	485.491	698.34	207.34	101.12	425.378	660.855	84.661	351.79	307.695	19.911	18.655	87.765	295.214	82.06	9.941	244.126	122.117	82.399	19.044	23.111	3.931	94.191	20.048	41.718	253.099	196.978	819.448	769.426	677.505	22.232	131.51	31.202	29.852	32.833	153.711	225.275	7.764	414.036	94.823	166.313	1600.83	515.287	1101.95	404.617	69.616	24.308	418.057	448.148	117.702	63.087	49.166	373.706	2610.871	127.42	118.105	495.635	200.107	36.791
hsa-mir-150	549.195	1278.84	667.76	1818.775	669.746	1203.941	1006.603	1315.526	148.014	1359.576	77.097	2897.294	3286.754	6091.864	2856.658	1516.67	302.084	594.129	596.487	521.797	7213.228	1437.756	2872.75	4308.297	388.905	37131.798	529.166	1337.605	338.891	1918.19	1148.038	397.663	22690.49	1890.096	178.206	594.835	4795.107	333.483	197.49	1270.017	176.963	644.048	461.271	1295.113	4608.576	805.846	3246.76	4560.977	597.394	4071.408	838.023	1256.202	1455.997	948.06	1315.024	185.014	1445.419	3656.77	1983.904	791.129	2508.807	1582.643	1857.525	1682.498	1701.519	933.104	870.841	1944.324	396.457	1585.809	1513.048	1046.363	687.396	1216.714	1151.795	1252.963	5141.804	1649.31	2047.052	596.829	2355.816	298.724	326.941	1263.243	525.936	178.92	3842.33	630.178	259.584	1714.071	2026.318	267.81	900.474	1722.508	681.221	1506.493	677.184	4152.481	233.123	735.813	1960.609	3870.966	3554.543	1645.521	547.746	1151.571	838.382	1272.78	118.358	878.214	434.122	2108.821	163.238	1298.832	30.868	2695.861	1340.931	191.604	236.719	339.843	942.62	254.252	1163.98	618.165	339.862	551.344	1202.55	762.575	1183.691	222.996	300.735	523.124	18.92	424.586	464.995	806.757	1212.252	222.818	606.382	1679.719	2365.981	328.843	632.408	1123.47	876.796	2703.523	516.014	2030.199	2817.446	1900.584	1015.552	682.61	606.398	3532.494	1083.645	688.317	1014.788	172.955	734.261	1008.21	659.628	63.866	775.54	692.639	2740.505	2115.382	4862.286	1529.335	1770.729	3583.536	1805.82	145.806	2341.835	1240.925	547.299	2746.694	1732.772	1058.382	6398.725	418.683	478.184	1466.989	567.917	809.143	669.76	1044.48	2356.164	3325.881	1510.225	501.404	4220.293	319.971	1983.899	3006.292	291.347
hsa-mir-151a	15107.103	11875.673	9152.429	10417.516	6299.939	11567.253	11354.041	4955.116	10689.925	8463.529	6654.106	7187.535	6896.056	6498.325	8025.215	7782.862	5809.454	5652.547	8856.649	5015.884	3600.338	7621.322	3857.486	5289.746	10691.913	3143.151	3173.87	4379.533	5552.521	3916.557	6325.086	6339.295	5602.481	8472.507	8030.582	7578.996	16280.243	8249.312	20860.599	10120.448	13571.97	12065.797	11249.913	7096.731	5078.576	12479.13	8027.22	5807.789	9827.555	5704.952	2650.049	4724.886	11310.889	5930.837	9121.261	12956.338	4836.124	6309.69	4059.92	4561.237	5656.568	4288.551	3827.314	15339.345	3338.423	4183.197	5443.007	3638.611	11048.797	5291.871	5675.564	5102.604	5554.987	5959.236	3029.915	3702.074	3285.762	4059.029	5885.064	3907.332	7627.453	14166.914	6906.445	8737.847	8412.797	15297.627	4933.868	8309.945	7189.61	6064.094	49624.68	6454.549	8465.805	5143.977	8707.158	10422.743	7831.051	5241.112	11376.234	6969.509	10276.648	6236.738	6380.759	5632.658	5329.326	17517.524	5246.162	4846.355	6023.628	5957.871	9356.96	10443.468	10765.198	8791.317	7080.691	3068.906	4118.191	6328.171	5488.026	6274.237	4183.032	6847.919	4444.988	4464.866	6291.584	6668.713	4161.363	6503.93	4059.676	4130.777	6293.381	7949.355	9497.681	12376.502	8086.087	15273.739	9747.697	9189.904	12182.261	7301.528	7645.269	15175.342	10188.55	6514.295	5458.101	5031.919	7881.24	4077.123	4377.264	2956.718	9206.347	9495.239	6486.527	11358.487	7170.755	7587.81	16392.091	12529.44	10896.179	10166.822	4609.055	7101.751	17409.214	4731.287	8191.649	10327.4	10406.348	6535.201	9365.14	10443.375	15088.63	10342.583	8814.002	10233.429	10718.009	3817.487	6828.18	9357.761	6303.043	8885.379	7356.68	5747.891	10953.952	6258.6	6953.237	12149.004	4792.558	8040.864	7515.19	6967.733	6306.996	8133.307	13140.443	4944.826	8563.402
hsa-mir-152	753.818	232.796	582.312	427.677	284.603	447.092	504.97	479.105	304.252	639.01	314.321	546.13	685.605	892.599	2193.268	1819.409	395.562	1074.718	667.435	1161.224	595.134	1240.115	541.095	382.498	120.234	397.777	540.425	750.295	819.241	217.839	1010.553	815.809	900.451	785.011	1286.705	1741.386	185.974	1570.88	313.583	1171.742	1167.233	2391.587	390.806	375.948	630.573	411.848	1169.492	799.431	1609.178	751.286	336.79	312.964	109.998	1370.861	199.641	557.192	708.197	241.757	270.256	375.527	352.601	384.596	252.161	338.701	176.613	400.84	478.913	383.629	278.17	443.91	218.686	181.123	1220.774	230.909	202.781	263.91	247.202	321.559	115.327	1237.62	1218.198	396.536	775.94	291.066	1846.208	274.679	341.421	134.438	398.029	571.717	277.027	725.387	317.748	911.063	1218.987	270.548	210.506	836.43	704.148	639.497	885.583	1031.948	574.585	661.18	211.864	194.421	573.982	253.666	678.585	1263.21	1096.975	918.804	848.838	751.889	790.701	529.062	770.565	764.665	743.975	1145.184	590.075	1403.878	788.367	694.671	355.059	1171.795	273.715	277.701	234.505	934.733	1007.697	1759.406	2843.208	2074.206	1468.66	1209.205	1110.679	2010.801	695.609	478.982	2488.528	1535.845	1963.601	237.965	909.832	322.428	310.272	288.19	374.995	216.261	560.827	304.855	223.632	526.729	556.017	384.968	262.626	296.776	366.06	290.37	282.698	2191.947	283.572	1527.83	997.485	230.388	241.771	791.181	345.454	246.283	223.751	272.289	853.134	168.864	3118.682	1781.611	1051.929	1850.198	689.707	1572.968	896.353	469.154	654.099	2167.523	1703.948	1379.782	1619.005	486.062	1206.332	1119.64	773.895	877.828	1356.547	612.045	1093.793
hsa-mir-153-2	12.723	188.698	72.789	15.719	46.403	29.071	159.054	29.189	17.621	17.271	1.977	66.115	46.585	30.258	25.625	14.889	6.888	3.915	30.219	38.456	25.843	16.2	11.636	14.826	139.531	83.462	15.762	12.645	17.301	37.063	9.321	31.078	89.604	12.597	10.572	18.619	13.404	17.552	23.352	13.859	7.223	21.779	39.568	45.471	195.736	59.928	14.642	6.809	2.104	22.498	53.76	699.822	94.622	24.589	47.74	12.908	264.445	200.13	26.07	351.778	149.588	315.918	18.135	205.421	165.126	429.753	7.999	188.655	18.198	17.523	9.346	18.458	0	60.688	11.798	25.047	19.452	23.063	67.839	20.118	15.575	148.04	13.078	129.176	15.213	476.279	55.404	60.497	110.756	109.156	6.702	56.684	434.518	6.339	10.515	78.355	10.024	33.203	34.395	48.158	70.755	25.079	128.929	36.402	8.612	37.389	16.734	13.351	11.047	4.789	18.672	33.21	15.614	105.617	14.247	22.662	6.718	6.124	22.545	18.563	22.503	9.292	11.913	13.771	11.052	13.521	17.949	19.836	26.394	17.099	0	9.253	19.971	10.441	114.739	14.284	9.936	28.985	34.598	3.937	2.255	8.097	25.53	159.025	16.964	27.766	361.707	72.048	17.952	34.327	28.747	11.598	395.424	80.189	93.477	27.206	18.909	21.619	6.422	54.323	3.436	13.404	39.966	82.207	107.513	50.995	150.991	16.969	157.126	37.316	86.339	3.513	25.697	97.695	20.115	26.691	11.434	15.765	21.927	1.454	32.911	74.661	22.098	12.26	12.983	10.88	19.886	212.224	19.507	22.717	14.342	15.077	13.579	35.957	17.898
hsa-mir-154	19.084	7.179	30.065	9.824	9.281	11.027	22.245	14.091	22.32	12.473	9.884	17.208	26.837	22.189	5.694	19.852	18.696	10.767	22.335	33.178	22.151	7.29	36.364	8.895	17.812	17.758	40.532	21.076	18.318	12.859	14.758	37.435	16.158	18.323	21.143	37.238	5.026	16.298	5.338	144.263	2.167	22.817	43.905	18.676	41.022	15.301	46.67	17.024	23.139	44.193	28.461	13.04	9.462	34.152	1.447	26.892	19.35	24.016	23.463	34.139	8.548	21.366	21.589	7.336	11.487	24.97	24.995	36.106	10.399	43.807	5.607	16.151	32.044	8.881	81.85	21.382	25.936	16.473	6.784	53.648	29.118	13.218	24.702	18.454	20.646	11.34	18.348	3.361	14.71	14.05	10.053	36.968	7.86	19.924	36.802	5.914	6.683	36.029	5.733	19.039	18.259	28.794	14.596	24.516	12.057	8.412	20.081	4.45	22.093	11.492	126.035	15.599	7.097	36.463	24.932	29.634	32.247	26.247	35.427	25.702	12.502	33.788	28.732	32.132	23.486	36.055	8.974	13.224	14.212	34.198	23.618	22.064	48.35	28.712	19.324	19.874	20.977	21.738	4.552	13.123	32.328	21.175	45.224	25.169	16.964	19.266	16.592	21.872	22.938	5.721	33.974	3.314	12.056	13.103	33.929	24.486	18.909	3.931	10.704	22.635	22.577	51.251	12.371	28.86	7.059	17.302	4.632	12.727	7.801	11.195	6.08	67.633	10.279	9.705	15.086	68.483	16.631	26.513	11.96	17.445	32.911	23.205	13.259	47.813	31.339	10.88	17.829	11.202	13.347	22.717	42.473	102.19	20.369	16.415	35.797
hsa-mir-155	512.087	612.243	735.802	1270.589	723.882	2222.428	820.854	984.38	267.835	833.784	353.858	1958.096	1774.27	1256.699	1567.84	1026.333	541.192	231.975	919.694	1538.999	3773.857	934.744	6107.686	5420.211	1080.621	6280.974	2406.017	2701.906	1698.526	1350.146	1207.848	1003.692	6440.503	1497.304	613.903	1337.643	941.597	396.168	479.715	2890.297	1352.863	1264.243	279.147	3030.321	2952.442	1298.023	2497.296	3111.243	898.195	2619.457	3027.95	1301.843	1504.491	1488.344	970.716	1337.047	1393.82	7147.033	1032.36	421.54	2976.804	1700.159	2170.999	2130.023	1944.183	725.455	1012.815	1190.605	1003.491	3143.874	1463.516	2715.697	349.383	1984.932	2246.812	1592.625	6920.038	2032.809	2150.507	517.103	1096.311	243.209	310.957	1066.962	596.567	312.479	1239.403	752.852	379.858	1859.973	1672.215	1067.132	934.158	1305.012	909.546	4101.091	1266.378	1716.66	1230.586	1733.698	946.068	3097.238	1198.795	2550.371	1191.95	790.77	2625.591	3339.935	1104.674	1397.289	6626.194	3674.712	1646.576	1588.02	617.364	5553.84	2817.568	674.55	1582.96	1010.96	1790.228	630.14	1554.309	1854.495	1316.618	2104.723	1173.833	2107	2103.438	1401.386	1933.518	800.701	346.861	680.381	759.694	1888.645	946.175	780.77	1586.972	3137.662	1454.022	601.01	1168.532	1399.189	920.547	1452.343	3865.955	2866.465	1812.141	947.431	994.122	884.742	245.935	1996.855	700.042	1101.851	2046.385	1894.648	1427.849	2206.552	1190.178	555.871	939.213	247.496	443.628	830.49	1510.838	1826.293	1669.322	2421.778	1139.43	433.027	921.658	1841.331	874.17	1552.983	2092.423	776.051	2941.221	652.738	1026.063	3862.195	1267.317	1039.626	640.659	1740.8	2071.586	1309.441	1007.159	883.542	1858.341	644.131	1064.597	2515.405	698.039
hsa-mir-15a	2544.533	1614.189	1068.1	1158.593	781.112	1031.52	1672.852	1494.688	362.988	1151.37	428.978	595.942	500.786	463.95	615.937	561.803	1097.145	971.944	700.281	470.522	619.5	496.532	1012.372	1346.157	1040.543	1026.407	713.811	751.7	978.001	695.873	1363.975	424.503	439.209	689.39	1479.258	766.327	1925.08	473.897	771.948	341.443	1109.449	824.507	776.735	915.105	520.399	1091.462	829.077	1138.542	1489.279	409.792	1046.738	541.167	1623.952	773.201	1539.258	591.614	638.539	1103.115	660.432	451.226	2070.727	503.638	824.703	983.088	733.735	576.947	695.873	620.125	1110.079	608.916	898.109	543.37	937.546	1071.656	1172.442	940.18	1137.13	952.159	922.615	536.476	593.863	1189.608	700.38	791.833	926.907	530.459	981.809	793.184	1086.792	680.873	1174.013	465.792	873.527	695.524	699.246	1225.596	1165.023	514.998	698.415	660.776	636.798	545.697	746.327	754.042	974.919	550.548	722.916	1290.581	558.649	870.552	655.851	812.633	698.375	392.29	813.258	882.06	727.57	832.907	1075.705	786.778	1460.186	467.115	568.325	644.177	1022.348	1159.776	948.579	1168.107	832.442	805.779	1936.667	611.379	743.123	339.321	456.541	862.653	548.715	631.319	1173.612	1015.705	772.496	827.712	701.703	1331.689	1085.727	999.017	1544.723	990.011	770.933	1400.551	603.164	791.96	497.897	716.457	462.54	1239.243	1493.819	1200.861	762.09	662.871	1200.975	1356.169	999.162	755.607	875.854	594.638	603.965	2292.941	976.185	983.886	674.902	679.844	484.813	974.366	727.497	746.64	671.488	763.153	592.032	552.429	530.455	762.753	1807.612	1039.626	388.604	928.756	645.271	687.083	657.066	668.539	569.803	840.972	1163.724	693.339	745.768
hsa-mir-15b	902.249	1331.142	1433.627	744.015	2579.99	2514.141	1980.951	1887.232	628.474	1781.745	1482.644	807.873	686.618	754.423	879.775	806.972	810.805	385.646	928.89	478.816	732.472	834.304	586.187	1085.228	886.169	559.374	632.747	723.599	959.682	838.074	1124.736	1114.586	456.101	1564.296	1700.505	1197.509	2181.422	2981.286	1214.3	937.393	1316.748	644.048	1563.226	1144.084	523.915	5183.168	802.539	801.474	1590.247	755.304	616.658	380.338	1414.6	1113.355	1095.13	898.177	893.954	786.11	426.674	513.566	1027.884	401.384	588.087	1133.485	719.376	548.034	864.842	501.877	931.999	554.887	759.795	701.421	587.129	1058.334	890.024	715.368	656.504	855.295	532.539	663.144	645.327	1358.797	1079.631	987.275	1874.461	874.438	1050.884	1915.741	801.249	745.718	1475.615	1515.673	2617.214	1028.795	1048.494	2158.469	2357.891	622.378	1135.044	762.693	954.056	689.204	1054.784	1975.368	1092.047	2295.664	1074.334	1212.701	651.758	581.326	1545.1	737.156	1523.082	721.713	617.364	571.77	354.044	1890.665	979.084	928.142	1487.689	603.11	440.084	800.248	848.272	1038.09	1205.243	1183.534	1213.131	1189.789	1913.049	1148.738	1395.852	1097.137	1956.604	1791.138	1581.006	1301.586	2306.253	2586.505	578.15	1326.581	1195.521	795.124	856.26	577.424	983.911	1085.217	629.313	763.209	904.223	1317.172	1484.047	1642.557	774.131	2135.687	3550.709	1814.066	1359.347	1036.019	828.953	1277.322	1541.565	3547.153	1546.455	1645.5	993.022	1215.407	1425.275	1374.456	1520.051	3202.468	985.9	1523.013	2696.265	665.514	1042.573	1838.733	1112.302	2256.235	1421.001	1587.052	1604.311	1458.91	825.56	1697.28	733.73	559.5	1002.025	2360.981	718.183	1645.089	3696.216	716.789	1125.612
hsa-mir-16-1	872.563	1147.571	846.568	1032.844	983.737	1130.762	1570.524	1202.796	264.311	975.786	602.942	625.83	701.302	515.388	768.735	527.063	800.965	458.077	790.936	408.69	744.286	669.063	800.006	981.45	927.731	994.443	851.169	576.069	1057.381	613.428	886.273	869.49	1132.541	1225.327	1194.582	733.009	1586.641	1154.653	725.911	715.644	1437.372	737.389	1222.828	815.231	550.873	867.049	632.331	904.296	1043.336	867.796	800.075	719.382	1124.82	726.755	1054.623	496.955	1104.865	1162.353	574.402	595.202	1446.731	695.936	623.493	951.296	687.787	843.736	738.865	788.922	644.73	537.364	891.567	824.861	432.078	859.989	1033.076	942.624	1120.92	840.14	627.514	748.831	582.352	1181.678	964.839	1066.962	1155.102	614.879	978.571	905.776	1019.3	733.83	663.524	552.872	1607.829	554.245	630.148	986.095	1077.034	729.757	806.378	719.014	453.063	788.59	853.363	936.795	990.421	1383.381	848.422	1335.084	408.729	522.906	681.525	638.03	899.939	521.796	378.729	903.85	559.617	1085.754	858.309	826.76	1330.169	424.88	420.462	616.635	793.01	1101.186	805.888	834.204	831.427	777.994	1657.976	763.69	689.517	605.557	929.991	1147.099	974.88	862.289	1469.519	1202.049	663.858	629.036	714.832	783.683	700.008	766.688	1690.733	1141.826	477.719	940.566	854.046	1050.424	2020.522	955.45	530.398	1233.801	1159.758	919.808	635.789	899.564	852.02	698.585	1077.192	1123.79	1228.802	981.654	1068.054	1300.253	1469.85	975.179	954.592	1861.226	770.904	1317.27	1192.659	1199.681	1121.572	1180.917	1211.97	1389.794	1128.67	1174.398	1162.352	1442.972	547.09	1359.011	975.106	650.364	774.106	1622.667	907.382	786.527	1232.977	938.782	662.242
